Value,en,Disaggregation combinations using this value,Number of indicators
Number of women who contacted paramedic-midwifery units due to domestic violence,Number of women who contacted paramedic-midwifery units due to domestic violence,1,1
Participation rate in organized learning (one year before the official primary entry age),Participation rate in organized learning (one year before the official primary entry age),1,1
"Police reporting rate for physical assault, by sex (%)","Police reporting rate for physical assault, by sex (%)",3,1
Pollutants emitted by stationary sources per km2,Pollutants emitted by stationary sources per km2,6,1
Power intensity of GDP by indusry,Power intensity of GDP by indusry,3,1
Prevalence of hepatitis B surface antigen (HBsAg),Prevalence of hepatitis B surface antigen (HBsAg),30,1
Prevalence of undernourishment,Prevalence of undernourishment,12,1
Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),Proportion of adults (15 years and older) with an account at a financial institution or mobile-money-service provider (% of adults aged 15 years and older),19,1
Proportion of births attended by skilled health personnel,Proportion of births attended by skilled health personnel,10,1
Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,Proportion of children aged 1-14 years who experienced physical punishment and/or psychological aggression by caregivers in last month,16,1
"Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning","Proportion of children aged 36-59 months who are developmentally on track in at least three of the following domains: literacy-numeracy, physical development, social-emotional development, and learning",21,1
Proportion of children engaged in economic activity,Proportion of children engaged in economic activity,6,1
Proportion of children moderately or severely overweight,Proportion of children moderately or severely overweight,10,1
Proportion of children moderately or severely stunted,Proportion of children moderately or severely stunted,31,1
Proportion of children moderately or severely wasted (number),Proportion of children moderately or severely wasted (number),10,1
Proportion of children under 5 years of age whose births have been registered with a civil authority,Proportion of children under 5 years of age whose births have been registered with a civil authority,6,1
Proportion of children who receive preschool education,Proportion of children who receive preschool education,26,1
Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,Proportion of crimes committed in public places and on the streets to the total number of recorded crimes,10,1
Proportion of domestic budget funded by domestic taxes,Proportion of domestic budget funded by domestic taxes,1,1
Proportion of drinking water samples that do not meet established microbiological standards,Proportion of drinking water samples that do not meet established microbiological standards,1,1
Proportion of drinking water samples that do not meet established sanitary-chemical standards,Proportion of drinking water samples that do not meet established sanitary-chemical standards,1,1
Proportion of employed population living below the official poverty line,Proportion of employed population living below the official poverty line,38,1
Proportion of forest area with a long-term management plan,Proportion of forest area with a long-term management plan,1,1
Proportion of government capital expenditure to sectors,Proportion of government capital expenditure to sectors,5,1
Proportion of government recurrent expenditure to sectors,Proportion of government recurrent expenditure to sectors,5,1
Proportion of individuals who own a mobile telephone,Proportion of individuals who own a mobile telephone,20,1
Proportion of married women and sexually active non-married women from 15-49 years aware of any modern method of contraception,Proportion of married women and sexually active non-married women from 15-49 years aware of any modern method of contraception,12,1
Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total number of pensioners,1,1
Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,Proportion of pensioners who receive pensions below the subsistence level of the pensioner to total population,1,1
Proportion of people living below 50 percent of median income,Proportion of people living below 50 percent of median income,14,1
Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,Proportion of people with disabilities receiving pensions Monthly Social Allowance to total population,1,1
Proportion of population below international poverty line,Proportion of population below international poverty line,10,1
Proportion of population covered by at least a 2G mobile network,Proportion of population covered by at least a 2G mobile network,1,1
Proportion of population covered by at least a 3G mobile network,Proportion of population covered by at least a 3G mobile network,1,1
Proportion of population covered by at least a 4G mobile network,Proportion of population covered by at least a 4G mobile network,1,1
Proportion of population covered by at least one social protection benefit,Proportion of population covered by at least one social protection benefit,10,1
Proportion of population living below the national poverty line,Proportion of population living below the national poverty line,30,1
Proportion of population living in poverty in all its dimensions according to national definitions,Proportion of population living in poverty in all its dimensions according to national definitions,16,1
Proportion of population receiving Monthly Allowance for Low-Income Families to total population,Proportion of population receiving Monthly Allowance for Low-Income Families to total population,1,1
Proportion of population receiving retirement benefits to total population,Proportion of population receiving retirement benefits to total population,1,1
Proportion of population receiving social assistance,Proportion of population receiving social assistance,1,1
Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Proportion of population reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,32,1
Proportion of population that feel safe walking alone around the area they live in,Proportion of population that feel safe walking alone around the area they live in,1,1
Proportion of population that has convenient access to public transport,Proportion of population that has convenient access to public transport,19,1
Proportion of population using safely managed drinking water services,Proportion of population using safely managed drinking water services,12,1
Proportion of population using safely managed sanitation services,Proportion of population using safely managed sanitation services,22,1
Proportion of population with access to electricity,Proportion of population with access to electricity,19,1
Proportion of population with primary reliance on clean fuels and technology,Proportion of population with primary reliance on clean fuels and technology,13,1
Proportion of safely treated domestic wastewater flows,Proportion of safely treated domestic wastewater flows,1,1
Proportion of seats held by women in national parliaments (% of total number of seats),Proportion of seats held by women in national parliaments (% of total number of seats),1,1
Proportion of small-scale industries in total industry value added,Proportion of small-scale industries in total industry value added,1,1
Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3),10,1
Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2),10,1
Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3),10,1
Proportion of time spent on unpaid domestic chores and care work,Proportion of time spent on unpaid domestic chores and care work,3,1
"Proportion of total government spending on essential services, education","Proportion of total government spending on essential services, education",1,1
Proportion of total government spending on health,Proportion of total government spending on health,1,1
Proportion of total government spending on social protection,Proportion of total government spending on social protection,1,1
Proportion of women aged 20-24 years who were married or in a union before age 15,Proportion of women aged 20-24 years who were married or in a union before age 15,20,1
Proportion of women aged 20-24 years who were married or in a union before age 18,Proportion of women aged 20-24 years who were married or in a union before age 18,20,1
Proportion of women in managerial positions,Proportion of women in managerial positions,1,1
Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,Proportion of women married or in a union of reproductive age (aged 15-49 years) who have their need for family planning satisfied with modern methods,31,1
Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,Proportion of women  reporting having personally felt discriminated against or harassed in the previous 12 months on the basis of a ground of discrimination prohibited under international human rights law,33,1
Proportion of young people receiving education,Proportion of young people receiving education,9,1
Proportion of youth and adults with information and communications technology (ICT) skills,Proportion of youth and adults with information and communications technology (ICT) skills,18,1
"Proportion of youth not in education, employment or training","Proportion of youth not in education, employment or training",3,1
Protected areas as a share of the country's surface,Protected areas as a share of the country's surface,1,1
Public expenditure on environment preservation (forest),Public expenditure on environment preservation (forest),12,1
Research and development expenditure as a proportion of GDP,Research and development expenditure as a proportion of GDP,1,1
Researchers (in full-time equivalent) per million inhabitants,Researchers (in full-time equivalent) per million inhabitants,1,1
Share of employed in medium enterprises in total employment,Share of employed in medium enterprises in total employment,1,1
Share of employed in small enterprises in total employment,Share of employed in small enterprises in total employment,1,1
Share of graduated teachers with pedagogical education,Share of graduated teachers with pedagogical education,3,1
Share of officially registered unemployed,Share of officially registered unemployed,3,1
Suicide mortality rate,Suicide mortality rate,10,1
Tourism share in GDP,Tourism share in GDP,1,1
Tuberculosis incidence,Tuberculosis incidence,30,1
Under-five mortality rate,Under-five mortality rate,10,1
Unemployment rate,Unemployment rate,37,1
Volume of removed solid household waste per person,Volume of removed solid household waste per person,1,1
Water loss at transportation as proportion of total water withdrawal,Water loss at transportation as proportion of total water withdrawal,10,1
Water loss at transportation (volume),Water loss at transportation (volume),10,1
