Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Вид экономической деятельности,Units,Value
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,5699.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,6192.7
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,6074.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,7378.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,9018.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,7390.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,8359.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,8497.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,8922.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,8905.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Сельское хозяйство, лесоводство и рыболовство",CUR_LCU,9116.6
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,10291.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,10478.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,13648.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,17111.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,13694.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,14402.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,14243.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,15562.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,20206.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,20843.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,23165.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,25767.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,22098.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,23738.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,19858.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Горнодобывающая промышленность и разработка карьеров,CUR_LCU,26349.6
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,7779.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,10879.1
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,9583.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,11594.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,9506.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,12216.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,10322.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,13090.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,11022.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,13740.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,11949.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,15076.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,12736.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,15802.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Обрабатывающая промышленность,CUR_LCU,13704.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Обрабатывающая промышленность,CUR_LCU,16711.7
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,14160.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,15121.5
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,18564.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,18018.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,17006.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,17317.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,19774.7
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,19512.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,22865.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,23517.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,23702.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,24212.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,24394.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,24266.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,24855.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Снабжение электричеством, газом, паром и кондиционированным воздухом",CUR_LCU,26772.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,7097.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,8512.1
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,7874.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,9348.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,8309.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,10479.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,8752.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,12181.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,9335.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,11772.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,10668.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,12166.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,11217.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,13276.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,11809.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",CUR_LCU,14015.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,7461.7
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,9692.9
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,8708.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,10047.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,10101.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,10554.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,8990.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,11811.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,8991.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,11689.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,11706.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,14730.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,14489.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,16612.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Строительство,CUR_LCU,13824.4
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Строительство,CUR_LCU,16640.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,10848.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,13252.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,10912.9
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,14999.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,11559.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,15591.8
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,13767.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,17200.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,12455.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,15170.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,14647.7
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,17360.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,14808.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,16556.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,16022.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,CUR_LCU,17624.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,9395.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,12164.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,10325.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,15698.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,11036.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,17090.7
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,13857.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,21369.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,14205.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,22780.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,13837.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,22726.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,16074.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,25482.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Транспорт и складское хозяйство,CUR_LCU,14876.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Транспорт и складское хозяйство,CUR_LCU,25678.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,7487.3
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,10371.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,10012.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,10772.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,9877.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,11218.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,9314.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,12369.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,9799.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,12729.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,9837.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,13681.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,11401.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,11978.9
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Размещение и общественное питание,CUR_LCU,12791.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Размещение и общественное питание,CUR_LCU,15929.9
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,14988.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,19715.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,15828.9
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,21524.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,18211.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,24850.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,18929.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,24702.2
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,19306.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Мужчины,Информация и связь,CUR_LCU,28211.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_080501_1,,Женщины,Информация и связь,CUR_LCU,27087.6
