Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,6.3
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,7.9
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,7.9
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,Чуйская область,На 100 000 населения,7.1
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,24.1
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,24.3
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,21.0
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,16.3
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,16.0
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,12.2
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,9.9
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,10.0
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,8.1
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,8.1
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,6.6
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Бишкек,На 100 000 населения,6.5
2007,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,1.6
2008,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,3.5
2009,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,3.1
2010,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,3.9
2011,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,3.5
2012,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,5.8
2013,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,4.9
2014,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,1.9
2015,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,4.4
2016,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,6.1
2017,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,3.5
2018,Годовая,Национальный,Коэффициент смертности от неумышленного отравления ,г. Ош,На 100 000 населения,2.7
