Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,5.5
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,4.2
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,4.5
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,4.3
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Женщины,На 100 000 населения,3.54522
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,13.967856
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,13.149996
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,14.604805
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,11.787756
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,12.267172
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,13.139518
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,9.5
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,9.5
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,7.5
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,7.5
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,6.2
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Киргизия,Мужчины,На 100 000 населения,6.760797
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,20.180533
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,20.012808
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,11.615832
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,4.57193
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,11.68605
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,8.592769
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,7.1
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,5.7
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,4.9
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,8.6
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,2.6
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,,На 100 000 населения,3.080721
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,18.345435
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,17.247244
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,9.457249
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,3.253393
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,8.215202
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,6.264963
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,7.0
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,5.1
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,4.2
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,9.0
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,2.8
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Женщины,На 100 000 населения,2.746401
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,21.956256
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,22.68529
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,13.700569
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,5.848164
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,15.052973
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,10.850459
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,7.2
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,6.2
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,5.7
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,8.3
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,2.3
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Баткенская область,Мужчины,На 100 000 населения,3.402904
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,5.870303
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,6.4034
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,6.305723
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,5.922974
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,4.782698
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,8.916337
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,7.2
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,5.8
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,4.4
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,2.6
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,3.3
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,,На 100 000 населения,2.661109
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,4.656511
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,4.604632
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,5.719538
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,4.08245
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,4.788933
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,7.898627
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,6.6
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,3.3
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,3.5
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,2.4
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,2.7
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Женщины,На 100 000 населения,1.673357
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,7.083701
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,8.200459
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,6.89089
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,7.759592
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,4.77648
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,9.930263
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,7.7
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,8.3
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,5.3
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,2.8
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,3.9
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Джалал-Абадская область,Мужчины,На 100 000 населения,3.636935
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,10.136497
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,7.333378
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,9.101396
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,9.25673
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,10.980097
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,8.209561
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,9.9
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,6.9
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,5.4
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,4.4
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,4.6
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,,На 100 000 населения,6.168093
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,6.813722
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,5.881022
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,5.848427
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,4.917674
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,7.995523
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,7.042811
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,6.5
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,5.2
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,4.7
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,2.5
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,5.4
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Женщины,На 100 000 населения,2.86608
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,13.555773
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,8.824445
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,12.43031
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,13.683759
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,14.018523
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,9.395469
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,13.3
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,8.7
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,6.0
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,6.4
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,3.8
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Иссык-Кульская область,Мужчины,На 100 000 населения,9.498716
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,12.055783
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,7.000704
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,11.614177
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,7.669976
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,11.003939
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,6.753639
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,6.7
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,4.4
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,2.2
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,4.3
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,2.8
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,,На 100 000 населения,3.152773
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,10.98996
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,7.071469
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,3.916684
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,4.66128
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,9.231337
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,5.330531
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,4.5
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,2.2
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,1.5
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,1.5
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,3.6
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Женщины,На 100 000 населения,2.853067
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,13.10222
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,6.931341
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,19.13568
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,10.603089
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,12.729315
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,8.135854
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,8.8
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,6.5
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,2.9
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,7.1
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,2.1
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Нарынская область,Мужчины,На 100 000 населения,3.442033
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,3.797045
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,4.117327
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,7.48076
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,8.360245
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,6.407336
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,4.222387
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,5.1
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,6.3
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,3.5
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,4.6
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,5.9
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,,На 100 000 населения,4.442955
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,3.920595
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,3.504507
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,5.269824
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,6.451682
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,5.833243
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,3.298262
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,4.6
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,5.0
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,2.6
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,2.4
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,5.3
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Женщины,На 100 000 населения,3.043862
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,3.67543
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,4.720552
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,9.65648
2010,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,10.240565
2011,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,6.973549
2012,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,5.133295
2013,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,5.5
2014,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,7.7
2015,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,4.5
2016,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,6.8
2017,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,6.5
2018,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Ошская область,Мужчины,На 100 000 населения,5.813217
2007,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Таласская область,,На 100 000 населения,7.635028
2008,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Таласская область,,На 100 000 населения,5.776699
2009,Годовая,Национальный,Распространенность поверхностного антигена гепатита В (HBsAg),Таласская область,,На 100 000 населения,4.832
