Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,86.8
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,129.8
2018,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Бишкек,Местная валюта,856.9
2007,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,0.7
2008,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,0.2
2012,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,1.1
2013,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,6.3
2015,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,139.1
2016,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,0.3
2017,Годовая,Национальный,Прямые экономические потери от бедствий ,г. Ош,Местная валюта,61.5
