Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Units,Value
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,25.5
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Иссык-Кульская область,Женщины,от 15 до 19 лет ,На 1000 населения,28.8
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.1
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,23.1
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.4
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,29.7
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,34.3
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,33.0
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.7
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,29.2
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.3
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,29.1
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,20.2
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Нарынская область,Женщины,от 15 до 19 лет ,На 1000 населения,22.7
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.1
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,27.1
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,30.4
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,33.0
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,43.2
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,44.0
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,43.4
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,45.8
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,72.3
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,41.6
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,38.5
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Ошская область,Женщины,от 15 до 19 лет ,На 1000 населения,35.2
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,39.9
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,38.9
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,46.4
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,48.5
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,59.3
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,58.8
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,61.0
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,58.2
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,36.4
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,41.9
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,34.9
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Таласская область,Женщины,от 15 до 19 лет ,На 1000 населения,37.1
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,38.4
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,40.1
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,39.3
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,44.0
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,49.1
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,50.3
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,52.0
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,50.8
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,59.7
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,47.8
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,46.4
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,Чуйская область,Женщины,от 15 до 19 лет ,На 1000 населения,52.1
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,25.9
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,24.8
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,17.9
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,20.4
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,25.3
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,26.0
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,26.6
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,26.5
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,22.1
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,21.4
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,17.4
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Бишкек,Женщины,от 15 до 19 лет ,На 1000 населения,24.3
2007,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,24.2
2008,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,26.0
2009,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,23.9
2010,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,27.0
2011,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,36.1
2012,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,43.9
2013,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,46.7
2014,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,54.9
2015,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,52.8
2016,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,52.6
2017,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,51.6
2018,Годовая,Национальный,Рождаемость среди подростков (на 1000 женщин в возрасте от 15 до 19 лет) ,г. Ош,Женщины,от 15 до 19 лет ,На 1000 населения,65.0
