Year,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Units,Value
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,12.182109
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,8.420139
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,9.423503
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Иссык-Кульская область,до 1 месяца,На 1000 живорождений,8.5
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,17.912773
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,16.943931
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,14.464366
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,12.251149
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,10.273497
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,12.369975
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,11.58413
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,12.209828
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,8.72093
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,11.227763
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,9.984399
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Нарынская область,до 1 месяца,На 1000 живорождений,8.2
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,12.608002
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,13.417951
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,10.630954
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,10.695524
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,8.214286
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,6.444122
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,5.10597
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,5.045162
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,4.312545
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,3.485959
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,3.098263
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Ошская область,до 1 месяца,На 1000 живорождений,3.4
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,28.86102
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,24.548244
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,25.589948
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,19.147084
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,16.905249
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,15.341309
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,19.851852
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,16.656752
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,12.700333
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,12.33604
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,12.267905
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Таласская область,до 1 месяца,На 1000 живорождений,16.7
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,21.918468
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,19.965577
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,18.539076
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,16.0724
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,15.37476
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,14.294878
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,14.537283
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,13.354037
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,12.614628
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,10.407594
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,6.655345
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,Чуйская область,до 1 месяца,На 1000 живорождений,6.8
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,31.519613
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,29.87456
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,27.261589
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,25.128553
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,24.125336
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,21.38653
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,22.854904
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,25.985737
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,23.028611
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,22.846558
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,23.162225
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Бишкек,до 1 месяца,На 1000 живорождений,22.9
2007,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,49.506943
2008,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,42.992096
2009,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,49.784765
2010,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,42.06501
2011,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,46.632124
2012,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,53.846154
2013,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,55.639098
2014,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,63.961301
2015,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,61.963775
2016,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,50.222162
2017,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,46.864858
2018,Годовая,Национальный,Коэффициент неонатальной смертности ,г. Ош,до 1 месяца,На 1000 живорождений,34.2
