Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",3.767117
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",1.626216
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",1.142983
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",2.5
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",3.965893
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",3.9
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",7.2
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",5.1
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",3.4
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,,"Per 100,000 population",5.1
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",1.448324
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",3.353631
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",0.472862
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",1.394311
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",2.3
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",4.027476
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",4.4
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",7.7
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",6.3
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",3.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,женский,"Per 100,000 population",4.4
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",2.335772
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",4.166686
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",2.740114
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",0.899717
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",2.7
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",3.906165
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",3.4
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",6.6
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",4.0
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",3.6
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Баткенская область,мужской,"Per 100,000 population",5.8
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",4.453333
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",7.003719
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",6.010142
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",5.922974
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",4.878352
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",9.104049
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",4.7
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",7.2
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",8.3
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",6.4
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,,"Per 100,000 population",10.3
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",3.846683
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",5.605639
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",4.73341
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",5.832071
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",3.639589
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",9.59119
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",5.2
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",6.5
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",8.1
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",4.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,женский,"Per 100,000 population",10.7
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",5.059786
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",8.40047
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",7.284655
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",6.013684
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",6.113894
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",8.618719
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",4.2
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",7.9
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",8.4
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",8.4
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Жалал-Абад область,мужской,"Per 100,000 population",9.8
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",0.46075
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",2.750017
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",2.730419
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",1.8
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",5.378007
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",3.10632
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",2.9
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",6.3
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",6.6
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",8.2
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,,"Per 100,000 population",8.8
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",2.261932
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",1.349637
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",3.553566
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",2.641054
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",2.6
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",6.5
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",4.7
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",7.1
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,женский,"Per 100,000 population",5.8
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",0.934881
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",3.251111
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",4.143437
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",3.6
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",7.235366
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",3.579226
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",3.1
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",6.1
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",8.6
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",9.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Иссык-Кульская область,мужской,"Per 100,000 population",11.7
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",0.388928
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",0.774278
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",2.300993
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",9.486154
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",4.502426
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",4.1
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",8.8
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",7.2
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",8.9
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,,"Per 100,000 population",12.4
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",0.783337
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",0.77688
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",3.846391
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",3.046018
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",3.764833
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",4.463024
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",3.675822
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",6.544503
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,женский,"Per 100,000 population",10.802091
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",0.770149
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",0.765427
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",3.786817
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",14.975665
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",5.916985
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",4.382473
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",12.996202
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",10.708549
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",11.281191
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Нарынская область,мужской,"Per 100,000 population",13.927674
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",9.538918
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",11.894501
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",10.995815
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",9.071755
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",8.777173
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",17.148062
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",6.2
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",7.7
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",7.9
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",7.9
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,,"Per 100,000 population",8.1
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",6.907715
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",12.173551
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",10.721366
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",9.319097
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",9.015013
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",15.102567
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",6.5
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",7.3
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",7.8
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",8.6
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,женский,"Per 100,000 population",8.5
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",12.128919
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",11.619821
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",11.265893
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",8.828073
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",8.542598
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",19.1643
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",5.9
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",8.2
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",8.0
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",7.2
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Ошская область,мужской,"Per 100,000 population",7.6
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",1.347358
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",1.777446
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",3.074923
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",2.170073
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",4.281317
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",6.7
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",4.6
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",4.9
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",5.6
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",5.5
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,,"Per 100,000 population",5.8
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",0.898029
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",0.889229
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",1.760021
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",0.870489
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",1.720253
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",6.8
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",5.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",4.1
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",4.9
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",4.8
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,женский,"Per 100,000 population",5.5
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",1.796897
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",2.664653
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",4.385426
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",3.462334
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",6.81948
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",6.7
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",4.1
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",5.7
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",6.4
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",6.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Таласская область,мужской,"Per 100,000 population",6.2
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",12.002921
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",21.171074
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",31.682411
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",24.643956
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",25.161074
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",24.56467
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",18.6
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",22.3
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",18.9
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",29.3
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,,"Per 100,000 population",30.7
2007,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",4.466468
2008,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",7.873996
2009,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",8.300943
2010,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",8.479011
2011,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",10.573085
2012,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",20.86188
2013,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",14.0
2014,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",15.8
2015,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",18.6
2016,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",22.4
2017,Annual,National,"Number of new HIV infections per 1,000 uninfected population",Чуйская область,женский,"Per 100,000 population",22.4
