Year,Статус наблюдения,Множитель,Характер данных,Сноски на уровне наблюдения,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,г. Ош,Женщины,,,,,,PT,38.3
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,г. Ош,Женщины,,,,,,PT,71.3
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,Городская,,,,PT,43.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,Городская,,,,PT,68.6
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,Сельская,,,,PT,41.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,Сельская,,,,PT,66.7
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 15 до 19 лет ,,,,,PT,17.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 15 до 19 лет ,,,,,PT,31.7
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 20 до 24 лет,,,,,PT,28.9
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 20 до 24 лет,,,,,PT,53.8
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 25 до 29 лет,,,,,PT,39.2
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 25 до 29 лет,,,,,PT,59.9
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 30 до 34 лет ,,,,,PT,50.4
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 30 до 34 лет ,,,,,PT,76.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 35 до 39 лет,,,,,PT,57.2
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 35 до 39 лет,,,,,PT,74.5
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 40 до 44 лет ,,,,,PT,52.2
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 40 до 44 лет ,,,,,PT,68.7
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 45 до 49 лет ,,,,,PT,29.3
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,от 45 до 49 лет ,,,,,PT,66.0
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Начальное образование,,PT,20.4
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Первый этап среднего образования,,PT,36.5
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Первый этап среднего образования,,PT,67.8
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Второй этап среднего образования,,PT,42.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Второй этап среднего образования,,PT,62.9
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Послесреднее нетретичное образование,,PT,43.3
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Послесреднее нетретичное образование,,PT,66.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Короткий цикл третичного образования,,PT,43.7
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,Короткий цикл третичного образования,,PT,74.3
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,,Лица с инвалидностью,PT,81.6
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,,,Лица без инвалидности,PT,67.1
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 1 (беднейшие),,,PT,42.5
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 1 (беднейшие),,,PT,66.5
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 2,,,PT,37.8
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 2,,,PT,60.7
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 3,,,PT,39.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 3,,,PT,69.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 4,,,PT,45.1
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 4,,,PT,69.3
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2014.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 5 (богатейшие),,,PT,45.3
2018,Нормальное значение,Единицы,Страновые данные,"According to the cluster survey for many indicators, 2018.",Годовая,Национальный,SH_FPL_MTMM,,Женщины,,,Квинтиль 5 (богатейшие),,,PT,71.4
