Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Уровень образования,Units,Value
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,7089
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,8522
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,5530
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4469
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4096
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,3916
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,3020
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Женщины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4023
2010,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,6761
2013,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4421
2014,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,5118
2015,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4635
2016,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4069
2017,Годовая,Национальный,"Численность студентов, обучающихся по направлению ИКТ по полу",Киргизия,Мужчины,Высшее образование (бакалавриат и магистратура или эквиваленты),Число,4491
