Year,Территория,Пол,Возраст,Value
2017,Джалал-Абадская область,Мужчины,,10.5
2018,Джалал-Абадская область,Мужчины,,9.1
2010,Джалал-Абадская область,Женщины,,7.1
2013,Джалал-Абадская область,Женщины,,6.7
2014,Джалал-Абадская область,Женщины,,6.0
2015,Джалал-Абадская область,Женщины,,6.1
2016,Джалал-Абадская область,Женщины,,5.8
2017,Джалал-Абадская область,Женщины,,5.3
2018,Джалал-Абадская область,Женщины,,4.7
2010,Иссык-Кульская область,,,10.2
2013,Иссык-Кульская область,,,9.5
2014,Иссык-Кульская область,,,9.3
2015,Иссык-Кульская область,,,9.1
2016,Иссык-Кульская область,,,8.9
2017,Иссык-Кульская область,,,8.7
2018,Иссык-Кульская область,,,8.4
2010,Иссык-Кульская область,Мужчины,,10.1
2013,Иссык-Кульская область,Мужчины,,9.4
2014,Иссык-Кульская область,Мужчины,,10.1
2015,Иссык-Кульская область,Мужчины,,9.6
2016,Иссык-Кульская область,Мужчины,,8.5
2017,Иссык-Кульская область,Мужчины,,8.0
2018,Иссык-Кульская область,Мужчины,,4.9
2010,Иссык-Кульская область,Женщины,,10.3
2013,Иссык-Кульская область,Женщины,,9.5
2014,Иссык-Кульская область,Женщины,,8.7
2015,Иссык-Кульская область,Женщины,,8.7
2016,Иссык-Кульская область,Женщины,,9.1
2017,Иссык-Кульская область,Женщины,,9.0
2018,Иссык-Кульская область,Женщины,,10.2
2010,Нарынская область,,,10.3
2013,Нарынская область,,,9.1
2014,Нарынская область,,,9.7
2015,Нарынская область,,,9.3
2016,Нарынская область,,,9.0
2017,Нарынская область,,,8.8
2018,Нарынская область,,,8.8
2010,Нарынская область,Мужчины,,14.7
2013,Нарынская область,Мужчины,,14.2
2014,Нарынская область,Мужчины,,15.4
2015,Нарынская область,Мужчины,,13.7
2016,Нарынская область,Мужчины,,14.6
2017,Нарынская область,Мужчины,,12.3
2018,Нарынская область,Мужчины,,15.0
2010,Нарынская область,Женщины,,8.2
2013,Нарынская область,Женщины,,6.8
2014,Нарынская область,Женщины,,7.4
2015,Нарынская область,Женщины,,7.6
2016,Нарынская область,Женщины,,6.6
2017,Нарынская область,Женщины,,7.1
2018,Нарынская область,Женщины,,6.2
2010,Ошская область,,,6.61
2013,Ошская область,,,6.3
2014,Ошская область,,,6.6
2015,Ошская область,,,6.0
2016,Ошская область,,,5.5
2017,Ошская область,,,5.1
2018,Ошская область,,,4.2
2010,Ошская область,Мужчины,,7.8
2013,Ошская область,Мужчины,,7.4
2014,Ошская область,Мужчины,,7.3
2015,Ошская область,Мужчины,,7.7
2016,Ошская область,Мужчины,,7.1
2017,Ошская область,Мужчины,,7.7
2018,Ошская область,Мужчины,,6.6
2010,Ошская область,Женщины,,5.9
2013,Ошская область,Женщины,,5.6
2014,Ошская область,Женщины,,6.0
2015,Ошская область,Женщины,,4.8
2016,Ошская область,Женщины,,4.4
2017,Ошская область,Женщины,,3.5
2018,Ошская область,Женщины,,2.7
2010,Таласская область,,,5.1
2013,Таласская область,,,3.7
2014,Таласская область,,,3.9
2015,Таласская область,,,3.3
2016,Таласская область,,,2.8
2017,Таласская область,,,2.5
2018,Таласская область,,,2.5
2010,Таласская область,Мужчины,,5.2
2013,Таласская область,Мужчины,,4.8
2014,Таласская область,Мужчины,,6.5
2015,Таласская область,Мужчины,,5.6
2016,Таласская область,Мужчины,,5.0
2017,Таласская область,Мужчины,,4.6
2018,Таласская область,Мужчины,,3.6
2010,Таласская область,Женщины,,4.9
2013,Таласская область,Женщины,,2.8
2014,Таласская область,Женщины,,1.7
2015,Таласская область,Женщины,,1.3
2016,Таласская область,Женщины,,1.2
2017,Таласская область,Женщины,,0.9
2018,Таласская область,Женщины,,1.7
2010,Чуйская область,,,10.2
2013,Чуйская область,,,9.8
2014,Чуйская область,,,8.9
2015,Чуйская область,,,8.6
2016,Чуйская область,,,8.4
2017,Чуйская область,,,8.1
2018,Чуйская область,,,7.3
2010,Чуйская область,Мужчины,,11.4
2013,Чуйская область,Мужчины,,10.8
2014,Чуйская область,Мужчины,,9.6
2015,Чуйская область,Мужчины,,8.2
2016,Чуйская область,Мужчины,,8.9
2017,Чуйская область,Мужчины,,9.1
2018,Чуйская область,Мужчины,,7.4
2010,Чуйская область,Женщины,,9.3
2013,Чуйская область,Женщины,,9.1
2014,Чуйская область,Женщины,,8.4
2015,Чуйская область,Женщины,,8.9
2016,Чуйская область,Женщины,,8.0
2017,Чуйская область,Женщины,,7.4
2018,Чуйская область,Женщины,,7.3
2010,г. Бишкек,,,10.0
2013,г. Бишкек,,,9.4
2014,г. Бишкек,,,8.9
2015,г. Бишкек,,,8.1
2016,г. Бишкек,,,7.7
2017,г. Бишкек,,,7.3
2018,г. Бишкек,,,6.7
2010,г. Бишкек,Мужчины,,10.6
2013,г. Бишкек,Мужчины,,9.7
2014,г. Бишкек,Мужчины,,9.5
2015,г. Бишкек,Мужчины,,8.4
2016,г. Бишкек,Мужчины,,7.6
2017,г. Бишкек,Мужчины,,7.9
2018,г. Бишкек,Мужчины,,5.0
2010,г. Бишкек,Женщины,,9.5
2013,г. Бишкек,Женщины,,9.3
2014,г. Бишкек,Женщины,,8.4
2015,г. Бишкек,Женщины,,7.7
2016,г. Бишкек,Женщины,,7.8
2017,г. Бишкек,Женщины,,6.7
2018,г. Бишкек,Женщины,,8.2
2013,г. Ош,,,4.6
2014,г. Ош,,,4.2
2015,г. Ош,,,3.9
2016,г. Ош,,,3.6
2017,г. Ош,,,3.5
2018,г. Ош,,,3.0
2013,г. Ош,Мужчины,,3.8
2014,г. Ош,Мужчины,,5.2
2015,г. Ош,Мужчины,,5.6
2016,г. Ош,Мужчины,,6.3
2017,г. Ош,Мужчины,,4.5
2018,г. Ош,Мужчины,,3.5
2013,г. Ош,Женщины,,5.0
2014,г. Ош,Женщины,,3.8
2015,г. Ош,Женщины,,3.1
2016,г. Ош,Женщины,,2.5
2017,г. Ош,Женщины,,3.0
2018,г. Ош,Женщины,,2.7
2010,Киргизия,,от 15 до 19 лет ,19.1
2013,Киргизия,,от 15 до 19 лет ,16.2
2014,Киргизия,,от 15 до 19 лет ,17.7
2015,Киргизия,,от 15 до 19 лет ,17.3
2016,Киргизия,,от 15 до 19 лет ,19.9
2017,Киргизия,,от 15 до 19 лет ,18.3
2018,Киргизия,,от 15 до 19 лет ,13.9
2010,Киргизия,,от 20 до 29 лет,12.4
2013,Киргизия,,от 20 до 29 лет,10.4
2014,Киргизия,,от 20 до 29 лет,10.2
2015,Киргизия,,от 20 до 29 лет,10.5
2016,Киргизия,,от 20 до 29 лет,10.4
2017,Киргизия,,от 20 до 29 лет,10.2
2018,Киргизия,,от 20 до 29 лет,9.5
2010,Киргизия,,от 30 до 39 лет ,6.2
2013,Киргизия,,от 30 до 39 лет ,7.2
2014,Киргизия,,от 30 до 39 лет ,6.7
2015,Киргизия,,от 30 до 39 лет ,6.2
2016,Киргизия,,от 30 до 39 лет ,5.9
2017,Киргизия,,от 30 до 39 лет ,5.4
2018,Киргизия,,от 30 до 39 лет ,4.6
2010,Киргизия,,от 40 до 49 лет ,5.9
2013,Киргизия,,от 40 до 49 лет ,6.4
2014,Киргизия,,от 40 до 49 лет ,6.7
2015,Киргизия,,от 40 до 49 лет ,5.8
2016,Киргизия,,от 40 до 49 лет ,5.3
2017,Киргизия,,от 40 до 49 лет ,5.3
2018,Киргизия,,от 40 до 49 лет ,4.3
2010,Киргизия,,от 50 до 59 лет,4.8
2013,Киргизия,,от 50 до 59 лет,6.1
2014,Киргизия,,от 50 до 59 лет,5.1
2015,Киргизия,,от 50 до 59 лет,4.2
2016,Киргизия,,от 50 до 59 лет,3.5
2017,Киргизия,,от 50 до 59 лет,3.8
2018,Киргизия,,от 50 до 59 лет,4.2
2010,Киргизия,,от 60 до 69 лет ,2.3
2013,Киргизия,,от 60 до 69 лет ,3.2
2014,Киргизия,,от 60 до 69 лет ,2.6
2015,Киргизия,,от 60 до 69 лет ,2.8
2016,Киргизия,,от 60 до 69 лет ,1.3
2017,Киргизия,,от 60 до 69 лет ,1.6
2018,Киргизия,,от 60 до 69 лет ,2.7
2010,Киргизия,,70 лет и старше,0.6
2013,Киргизия,,70 лет и старше,1.6
2014,Киргизия,,70 лет и старше,2.8
2015,Киргизия,,70 лет и старше,1.4
2016,Киргизия,,70 лет и старше,0.9
2017,Киргизия,,70 лет и старше,0.3
