Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,25.8
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Иссык-Кульская область,На 100 000 населения,18.5
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,29.2
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,26.4
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,28.3
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,27.6
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,26.9
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,27.0
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,24.8
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,28.9
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,30.8
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,19.7
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,26.5
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Нарынская область,На 100 000 населения,24.9
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,13.5
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,15.3
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,14.5
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,14.7
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,14.7
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,15.0
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,14.3
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,15.5
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,12.4
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,11.7
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,11.8
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Ошская область,На 100 000 населения,9.6
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,15.3
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,17.3
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,16.7
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,19.1
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,24.4
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,25.3
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,23.2
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,21.6
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,16.0
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,17.4
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,15.6
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Таласская область,На 100 000 населения,20.3
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,31.0
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,28.1
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,23.2
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,19.7
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,20.0
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,18.9
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,24.5
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,20.0
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,20.5
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,18.2
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,19.9
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,Чуйская область,На 100 000 населения,14.8
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,14.4
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,15.6
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,13.0
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,10.1
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,9.2
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,8.4
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,11.5
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,7.8
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,9.1
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,8.5
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,8.6
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Бишкек,На 100 000 населения,5.4
2007,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,17.2
2008,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,16.7
2009,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,15.5
2010,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,14.4
2011,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,12.9
2012,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,9.7
2013,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,12.2
2014,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,10.5
2015,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,12.5
2016,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,10.0
2017,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,7.7
2018,Годовая,Национальный,Коэффициент смертности в результате дорожно-транспортных происшествий,г. Ош,На 100 000 населения,6.1
