Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Вид экономической деятельности,Units,Value
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,Женщины,,,,На 1000 населения,555.2
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,129.7
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,130.2
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,139.2
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,128.9
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,120.5
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,109.0
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,126.1
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,108.0
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,101.7
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,85.0
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,71.1
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 15 до 19 лет ,,,На 1000 населения,76.5
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,463.8
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,485.6
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,492.5
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,500.9
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,502.9
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,497.3
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,523.0
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,516.5
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,516.1
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,518.7
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,499.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 20 до 29 лет,,,На 1000 населения,500.7
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,408.9
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,416.3
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,408.1
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,406.5
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,403.8
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,397.8
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,411.3
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,437.4
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,449.1
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,446.8
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,447.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 30 до 39 лет ,,,На 1000 населения,463.0
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,328.7
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,335.8
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,343.1
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,336.4
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,341.3
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,356.0
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,348.4
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,352.0
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,361.7
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,371.4
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,344.5
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 40 до 49 лет ,,,На 1000 населения,367.3
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,149.3
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,154.0
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,168.4
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,174.3
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,187.7
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,194.5
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,181.4
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,197.0
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,207.4
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,209.4
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,204.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 50 до 59 лет,,,На 1000 населения,222.7
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,26.0
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,29.0
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,29.7
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,32.3
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,36.5
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,38.0
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,31.5
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,35.3
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,43.5
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,45.4
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,40.5
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,от 65 до 69 лет,,,На 1000 населения,52.6
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,8.5
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,8.7
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,11.8
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,10.4
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,11.1
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,10.1
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,7.5
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,6.9
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,7.0
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,6.3
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,4.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,70 лет и старше,,,На 1000 населения,4.1
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,396.7
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,421.9
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,431.7
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,414.4
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,419.3
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,408.0
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,418.6
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,433.7
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,460.0
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,489.0
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,526.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Городская,,На 1000 населения,541.6
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1118.1
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1137.7
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1161.2
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1175.2
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1184.6
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1194.8
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1210.5
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1219.3
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1226.5
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1194.0
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1085.0
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,Сельская,,На 1000 населения,1145.3
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,755.3
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,767.0
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,740.5
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,720.7
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,719.4
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,711.4
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,731.6
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,749.0
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,710.1
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,656.5
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,497.7
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",На 1000 населения,463.0
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,106.6
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,110.4
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,114.7
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,114.0
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,111.3
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,115.3
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,102.2
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,108.5
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,117.7
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,117.1
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,160.5
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Промышленность,На 1000 населения,225.0
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,172.5
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,180.9
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,204.7
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,197.7
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,204.9
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,222.4
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,210.0
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,209.3
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,222.7
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,250.3
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,221.8
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Строительство,На 1000 населения,217.0
2007,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,480.4
2008,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,501.4
2009,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,533.1
2010,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,557.2
2011,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,568.4
2012,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,553.7
2013,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,585.2
2014,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,586.2
2015,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,635.7
2016,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,659.1
2017,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,731.3
2018,Годовая,Национальный,"Занятость в неформальном секторе, включая сельское хозяйство",Киргизия,,,,Прочие виды деятельности в сфере услуг,На 1000 населения,781.9
