Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",г. Бишкек,Женщины,от 15 до 49 лет ,,,,,Процент,8.7
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",г. Ош,Женщины,от 15 до 49 лет ,,,,,Процент,70.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 19 лет ,,,,,Процент,6.5
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 17 лет ,,,,,Процент,5.7
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 18 до 19 лет ,,,,,Процент,8.3
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 20 до 24 лет,,,,,Процент,9.1
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 25 до 29 лет,,,,,Процент,7.1
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 30 до 34 лет ,,,,,Процент,8.8
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 35 до 39 лет,,,,,Процент,8.7
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 40 до 44 лет ,,,,,Процент,6.4
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 45 до 49 лет ,,,,,Процент,70.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,Начальное образование,,Процент,140.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,Первый этап среднего образования,,Процент,59.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,Второй этап среднего образования,,Процент,69.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,Послесреднее нетретичное образование,,Процент,82.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,,Лица с инвалидностью,Процент,207.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,,,Лица без инвалидности,Процент,76.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,Квинтиль 1 (беднейшие),,,Процент,60.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,Квинтиль 2,,,Процент,67.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,Квинтиль 3,,,Процент,97.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,Квинтиль 4,,,Процент,71.0
2018,Годовая,Национальный,"Доля населения, сообщившего о том, что в течение последних 12 месяцев они лично столкнулись с дискриминацией или преследованиями на основании, дискриминация на котором запрещена международным правом прав человека",Киргизия,Женщины,от 15 до 49 лет ,,Квинтиль 5 (богатейшие),,,Процент,88.0
