Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2017,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,2.3
2018,Годовая,Национальный,SL_TLF_MANF,Нарынская область,,PT,3.9
2010,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,6.3
2011,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,5.9
2012,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,5.4
2013,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,2.7
2014,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,2.8
2015,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,3.4
2016,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,3.3
2017,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,4.7
2018,Годовая,Национальный,SL_TLF_MANF,Ошская область,,PT,6.7
2010,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,2.6
2011,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,3.0
2012,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,3.1
2013,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,3.0
2014,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,2.2
2015,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,1.9
2016,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,2.1
2017,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,3.6
2018,Годовая,Национальный,SL_TLF_MANF,Таласская область,,PT,3.8
2010,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,14.3
2011,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,14.3
2012,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,14.8
2013,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,13.7
2014,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,13.7
2015,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,15.1
2016,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,16.0
2017,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,21.6
2018,Годовая,Национальный,SL_TLF_MANF,Чуйская область,,PT,21.4
2010,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,14.5
2011,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,13.6
2012,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,12.8
2013,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,13.5
2014,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,13.5
2015,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,14.8
2016,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,15.4
2017,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,16.1
2018,Годовая,Национальный,SL_TLF_MANF,г. Бишкек,,PT,16.4
2013,Годовая,Национальный,SL_TLF_MANF,г. Ош,,PT,7.5
2014,Годовая,Национальный,SL_TLF_MANF,г. Ош,,PT,7.8
2015,Годовая,Национальный,SL_TLF_MANF,г. Ош,,PT,5.1
2016,Годовая,Национальный,SL_TLF_MANF,г. Ош,,PT,5.1
2017,Годовая,Национальный,SL_TLF_MANF,г. Ош,,PT,7.6
2018,Годовая,Национальный,SL_TLF_MANF,г. Ош,,PT,8.5
2010,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,9.3
2011,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,8.8
2012,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,9.0
2013,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,8.8
2014,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,8.9
2015,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,8.4
2016,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,9.1
2017,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,11.3
2018,Годовая,Национальный,SL_TLF_MANF,Киргизия,Женщины,PT,12.5
2010,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,6.7
2011,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,6.8
2012,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,6.6
2013,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,5.7
2014,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,5.6
2015,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,6.7
2016,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,6.7
2017,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,9.3
2018,Годовая,Национальный,SL_TLF_MANF,Киргизия,Мужчины,PT,11.7
