Year,Статус наблюдения,Множитель,Характер данных,Информация об источнике,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,,,,PT,12.9
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Баткенская область,Женщины,от 20 до 24 лет,,,,PT,14.4
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Джалал-Абадская область,Женщины,от 20 до 24 лет,,,,PT,13.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Иссык-Кульская область,Женщины,от 20 до 24 лет,,,,PT,11.5
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Нарынская область,Женщины,от 20 до 24 лет,,,,PT,18.4
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Ошская область,Женщины,от 20 до 24 лет,,,,PT,18.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Таласская область,Женщины,от 20 до 24 лет,,,,PT,16.5
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,Чуйская область,Женщины,от 20 до 24 лет,,,,PT,11.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,г. Бишкек,Женщины,от 20 до 24 лет,,,,PT,5.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,г. Ош,Женщины,от 20 до 24 лет,,,,PT,13.2
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,,Первый этап среднего образования,,PT,30.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,,Второй этап среднего образования,,PT,21.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,,Послесреднее нетретичное образование,,PT,6.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,,Короткий цикл третичного образования,,PT,2.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,,,Лица без инвалидности,PT,12.7
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,Квинтиль 1 (беднейшие),,,PT,11.8
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,Квинтиль 2,,,PT,19.7
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,Квинтиль 3,,,PT,14.4
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,Квинтиль 4,,,PT,12.5
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SP_DYN_MRBF18,,Женщины,от 20 до 24 лет,Квинтиль 5 (богатейшие),,,PT,6.4
