Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,22.677108
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,20.82061
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,26.515574
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,14.554885
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,,Процент,46.09873
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,13.387777
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,2.896032
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,6.402868
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,3.165859
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,5.598477
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,2.833263
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,5.61782
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,2.531197
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,10.194459
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,2.431907
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Женщины,Процент,10.021295
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,107.999691
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,69.552022
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,91.481651
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,82.904418
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,75.539074
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,64.422066
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,76.931147
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,42.560157
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,43.027937
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,46.269163
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,29.022521
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Джалал-Абадская область,Мужчины,Процент,86.089589
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,21.018891
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,31.755273
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,19.005213
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,67.94721
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,31.154266
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,24.58479
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,44.681578
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,29.214916
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,51.98586
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,44.752152
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,18.566162
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,,Процент,10.143788
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,15.759613
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,5.282341
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,10.077598
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,5.041339
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,10.163635
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,10.07709
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,5.059449
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,9.607071
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,19.536974
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Женщины,Процент,14.912019
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,26.281209
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,58.330682
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,36.972482
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,130.300233
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,58.880206
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,41.346722
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,82.417582
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,55.906524
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,101.959896
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,74.230572
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,22.746659
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Иссык-Кульская область,Мужчины,Процент,22.373867
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,17.955739
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,26.688017
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,4.326569
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,30.101054
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,12.66464
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,24.857072
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,8.224022
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,12.259409
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,3.700278
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,,Процент,35.364847
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,Процент,8.371003
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,Процент,7.789375
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Женщины,Процент,14.91758
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,29.038815
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,59.565174
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,9.553836
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,57.598157
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,28.055737
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,37.275184
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,18.883958
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,28.277877
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,8.688097
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Нарынская область,Мужчины,Процент,81.352255
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,Процент,2.148043
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,Процент,2.416918
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,Процент,5.181481
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,Процент,2.346151
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,Процент,4.517834
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,,Процент,4.578335
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Женщины,Процент,3.779289
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Женщины,Процент,3.897268
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,Процент,4.880906
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,Процент,5.961607
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,Процент,13.020833
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,Процент,11.112963
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Ошская область,Мужчины,Процент,5.54785
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,11.511454
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,5.701579
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,16.051364
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,38.385611
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,21.165141
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,10.518012
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,25.514109
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,26.011861
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,15.061753
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,10.722711
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,,Процент,14.769594
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,Процент,9.474183
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,Процент,10.188487
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,Процент,19.277108
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Женщины,Процент,9.250694
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,26.588673
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,13.486177
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,24.585126
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,71.250445
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,46.838407
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,23.092022
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,55.463117
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,33.9098
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,32.619332
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,23.523877
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Таласская область,Мужчины,Процент,21.0482
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,54.795253
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,51.255766
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,30.489664
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,39.786743
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,28.308799
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,61.47541
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,50.052399
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,39.493821
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,52.914295
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,20.676602
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,14.895483
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,,Процент,27.829162
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,54.193199
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,26.478376
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,15.113046
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,18.584482
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,15.769886
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,29.823149
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,27.034334
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,22.348509
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,15.284911
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,9.59785
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,13.31425
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Женщины,Процент,9.651889
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,55.381207
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,74.490978
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,46.136811
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,62.193126
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,42.334015
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,96.960781
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,75.060375
2014,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,57.730838
2015,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,94.425522
2016,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,31.629555
2017,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,16.45928
2018,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),Чуйская область,Мужчины,Процент,46.65889
2007,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,25.544578
2008,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,35.587189
2009,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,27.549559
2010,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,172.396125
2011,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,26.428883
2012,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,21.074932
2013,Годовая,Национальный,Производственный травматизм с не смертельным исходом среди работников (доля),г. Бишкек,,Процент,47.614038
