Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Составная разбивка,Units,Value
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,128
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,116
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,74
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,55
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,151
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,72
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,27
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,32
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,3
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,16
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,17
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,24
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нежелание родителей,Число,39
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,3
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,1
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,8
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,3
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина:  отсутствие необходимых документов (свидетельства о рождении, прописки)",Число,4
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,208
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,140
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,175
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,540
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,321
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,287
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,466
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,414
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,147
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,359
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,175
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,287
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,320
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  по семейным обстоятельствам,Число,400
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,222
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,142
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,127
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,123
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,124
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,203
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,131
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,115
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,69
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,61
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,38
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,26
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,29
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  нет желания учиться,Число,66
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,87
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,65
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,72
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,64
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,15
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,27
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,40
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,23
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,14
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,7
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,8
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,8
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,9
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  неблагополучные семьи,Число,12
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,11
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,9
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,1
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,3
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,16
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,9
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,4
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,4
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,6
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  не владеют языком ,Число,0
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина:  состоит в браке, беременна, стали родителями (матерью, отцом)",Число,3
2005,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,102
2006,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,218
2007,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,204
2008,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,79
2009,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,185
2010,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,183
2011,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,211
2012,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,136
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,641
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,114
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,89
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,241
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,218
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  работают,Число,108
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  отсутствие транспорта (школа расположена далеко от дома),Число,2
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  отсутствие транспорта (школа расположена далеко от дома),Число,3
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  отсутствие транспорта (школа расположена далеко от дома),Число,2
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,Причина:  отсутствие транспорта (школа расположена далеко от дома),Число,3
2013,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,19
2014,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,26
2015,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,98
2016,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,6
2017,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,2
2018,Годовая,Национальный,"Численность детей и подростков 7-17 лет (1-11классов), не приступивших  к занятиям  в общеобразовательные организации по причинам,  по полу ",Киргизия,Мужчины,от 7 до 17 лет,"Причина: временные сезонные работы (с/х работы, выпас скота на пастбище)",Число,11
