Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,98.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,95.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,96.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Иссык-Кульская область,PT,95.0
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,94.4
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,95.2
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,95.3
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,96.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,95.5
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,97.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,98.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,97.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,97.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,96.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,97.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Нарынская область,PT,94.8
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,94.4
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,94.5
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,95.1
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,95.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,93.6
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,93.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,96.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,98.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,97.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,98.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,96.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Ошская область,PT,95.8
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,94.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,94.8
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,94.6
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,96.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,95.3
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,96.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,96.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,93.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,96.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,95.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,93.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Таласская область,PT,95.3
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,94.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,95.5
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,95.5
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,96.3
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,96.8
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,97.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,96.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,96.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,97.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,97.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,91.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,Чуйская область,PT,92.5
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,95.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,94.9
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,95.5
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,96.8
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,96.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,97.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,96.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,93.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,94.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,90.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,86.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Бишкек,PT,90.3
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,95.2
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,96.7
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,95.4
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,95.7
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,95.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,98.5
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,99.2
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,96.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,97.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,96.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,98.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_DTP3,г. Ош,PT,95.2
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,98.8
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,99.1
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,98.9
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,98.3
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,97.2
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,97.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,98.666102
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,95.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,99.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,97.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,94.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,,PT,96.244215
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,99.2
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,99.0
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,99.9
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,97.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,95.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,100.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,99.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,98.9
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,97.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,99.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,98.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Баткенская область,PT,92.454654
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,97.8
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,99.2
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,98.3
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,98.3
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,100.0
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,99.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,99.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,91.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,100.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,95.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,88.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Джалал-Абадская область,PT,93.49863
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,99.0
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,99.7
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,99.7
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,99.2
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,96.9
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,95.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,97.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,95.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,98.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,97.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,95.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Иссык-Кульская область,PT,96.51199
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,99.4
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,99.1
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,98.9
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,99.5
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,96.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,97.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,97.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,97.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,98.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,98.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,97.0
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Нарынская область,PT,97.646444
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,98.9
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,99.5
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,99.8
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,99.7
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,94.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,96.6
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,97.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,96.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,99.0
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,99.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,96.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Ошская область,PT,98.10916
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,98.6
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,99.2
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,97.6
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,97.1
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,97.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,98.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,97.7
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,94.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,97.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,97.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,95.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Таласская область,PT,98.413291
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,99.1
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,97.4
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,98.7
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,96.4
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,97.1
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,96.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,99.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,96.5
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,98.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,95.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,96.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,Чуйская область,PT,97.43813
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,99.8
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,99.9
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,98.6
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,99.0
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,97.4
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,97.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,98.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,95.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,99.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,95.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,91.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Бишкек,PT,96.281062
2007,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,98.8
2008,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,98.9
2009,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,98.2
2010,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,97.4
2011,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,99.7
2012,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,98.1
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,SH_ACS_MCV2,г. Ош,PT,98.7
