Year,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Units,Value
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,25.0
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,20.1
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,21.7
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,20.2
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,22.58
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,16.77
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,17.9
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,18.2
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Нарынская область,до 5 лет,На 1000 живорождений,15.1
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,34.7
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,29.9
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,26.1
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,24.14
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,21.1
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,19.0
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,17.17
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,14.96
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,14.31
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,12.2
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,11.7
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Ошская область,до 5 лет,На 1000 живорождений,11.0
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,43.8
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,38.3
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,39.0
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,29.52
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,27.7
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,22.9
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,26.52
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,24.14
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,17.77
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,19.7
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,17.1
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Таласская область,до 5 лет,На 1000 живорождений,22.8
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,31.6
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,27.4
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,25.1
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,24.2
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,22.6
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,20.8
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,21.22
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,18.55
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,17.08
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,16.45
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,12.9
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,Чуйская область,до 5 лет,На 1000 живорождений,12.7
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,36.3
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,34.6
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,32.3
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,28.2
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,26.2
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,24.8
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,25.69
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,28.61
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,26.6
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,25.7
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,26.4
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Бишкек,до 5 лет,На 1000 живорождений,25.1
2007,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,63.7
2008,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,52.9
2009,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,64.4
2010,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,52.94
2011,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,58.3
2012,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,63.4
2013,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,65.59
2014,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,72.35
2015,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,70.26
2016,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,60.0
2017,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,53.1
2018,Годовая,Национальный,Коэффициент смертности детей в возрасте до пяти лет,г. Ош,до 5 лет,На 1000 живорождений,39.0
