Year,Частота наблюдений,Тип отчетности,Series,Территория,Тип местности,Units,Value
2011,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,99.0
2012,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,99.0
2013,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,93.7
2014,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,96.8
2015,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,96.4
2016,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,97.3
2017,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,97.0
2018,Годовая,Национальный,SH_H2O_SAFE,Иссык-Кульская область,,PT,96.0
2011,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,89.2
2012,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,89.1
2013,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,86.8
2014,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,84.4
2015,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,90.3
2016,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,95.9
2017,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,95.8
2018,Годовая,Национальный,SH_H2O_SAFE,Нарынская область,,PT,96.3
2011,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,86.4
2012,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,88.7
2013,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,73.7
2014,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,72.9
2015,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,74.5
2016,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,76.4
2017,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,77.3
2018,Годовая,Национальный,SH_H2O_SAFE,Ошская область,,PT,83.2
2011,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,96.5
2012,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,97.6
2013,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,99.7
2014,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,99.7
2015,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,99.2
2016,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,100.0
2017,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,99.4
2018,Годовая,Национальный,SH_H2O_SAFE,Таласская область,,PT,99.4
2011,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,99.6
2012,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,99.8
2013,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,100.0
2014,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,100.0
2015,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,100.0
2016,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,100.0
2017,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,100.0
2018,Годовая,Национальный,SH_H2O_SAFE,Чуйская область,,PT,100.0
2011,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,100.0
2012,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,100.0
2013,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,99.8
2014,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,99.8
2015,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,100.0
2016,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,100.0
2017,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,100.0
2018,Годовая,Национальный,SH_H2O_SAFE,г. Бишкек,,PT,100.0
2013,Годовая,Национальный,SH_H2O_SAFE,г. Ош,,PT,99.7
2014,Годовая,Национальный,SH_H2O_SAFE,г. Ош,,PT,96.5
2015,Годовая,Национальный,SH_H2O_SAFE,г. Ош,,PT,96.7
2016,Годовая,Национальный,SH_H2O_SAFE,г. Ош,,PT,100.0
2017,Годовая,Национальный,SH_H2O_SAFE,г. Ош,,PT,95.7
2018,Годовая,Национальный,SH_H2O_SAFE,г. Ош,,PT,96.5
