Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Units,Value
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,12
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,11
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,12
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Киргизия,Мужчины,На 100 000 населения,11
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,9
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,2
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,16
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,4
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,6
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,2
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,16
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,2
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,16
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,,На 100 000 населения,8
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Женщины,На 100 000 населения,9
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Женщины,На 100 000 населения,9
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Женщины,На 100 000 населения,4
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Женщины,На 100 000 населения,8
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,19
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,5
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,23
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,9
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,4
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,4
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,32
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,4
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,27
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Баткенская область,Мужчины,На 100 000 населения,8
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,2
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,2
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,9
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,6
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,3
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,5
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,1
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,1
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,,На 100 000 населения,5
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Женщины,На 100 000 населения,8
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Женщины,На 100 000 населения,6
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Женщины,На 100 000 населения,2
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,4
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,4
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,10
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,6
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,6
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,7
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,2
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,2
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Джалал-Абадская область,Мужчины,На 100 000 населения,10
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,28
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,37
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,25
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,14
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,18
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,7
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,15
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,24
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,2
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,13
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,10
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,,На 100 000 населения,8
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,14
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,32
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,9
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,9
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,13
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,4
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,9
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,4
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,13
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Женщины,На 100 000 населения,4
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,42
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,42
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,41
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,18
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,23
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,9
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,22
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,44
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,4
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,13
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,17
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Иссык-Кульская область,Мужчины,На 100 000 населения,17
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,,На 100 000 населения,12
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,,На 100 000 населения,4
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,,На 100 000 населения,4
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,,На 100 000 населения,11
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,Женщины,На 100 000 населения,8
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,Женщины,На 100 000 населения,7
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,Мужчины,На 100 000 населения,15
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,Мужчины,На 100 000 населения,8
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,Мужчины,На 100 000 населения,7
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Нарынская область,Мужчины,На 100 000 населения,14
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,2
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,3
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,1
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,3
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,3
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,2
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,2
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,,На 100 000 населения,2
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Женщины,На 100 000 населения,2
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Женщины,На 100 000 населения,3
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Женщины,На 100 000 населения,2
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Женщины,На 100 000 населения,3
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,2
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,5
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,2
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,3
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,5
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,5
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Ошская область,Мужчины,На 100 000 населения,3
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,,На 100 000 населения,9
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,,На 100 000 населения,4
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,,На 100 000 населения,4
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,,На 100 000 населения,4
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,,На 100 000 населения,4
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,,На 100 000 населения,4
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,Мужчины,На 100 000 населения,18
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,Мужчины,На 100 000 населения,9
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,Мужчины,На 100 000 населения,8
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,Мужчины,На 100 000 населения,8
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,Мужчины,На 100 000 населения,8
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Таласская область,Мужчины,На 100 000 населения,8
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,42
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,61
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,30
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,32
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,23
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,31
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,22
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,19
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,20
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,22
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,22
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,,На 100 000 населения,26
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,25
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,44
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,24
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,22
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,5
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,17
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,7
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,7
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,16
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,4
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,13
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Женщины,На 100 000 населения,17
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,59
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,79
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,35
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,43
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,42
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,46
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,38
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,31
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,25
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,41
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,31
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,Чуйская область,Мужчины,На 100 000 населения,35
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,32
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,34
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,18
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,9
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,23
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,26
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,19
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,19
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,11
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,15
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,9
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,,На 100 000 населения,13
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,23
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,27
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,11
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,4
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,11
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,15
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,14
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,12
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,4
2016,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,15
2017,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,4
2018,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Женщины,На 100 000 населения,7
2007,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,42
2008,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,42
2009,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,26
2010,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,15
2011,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,37
2012,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,39
2013,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,24
2014,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,28
2015,Годовая,Национальный,Смертность   от токсического действия окиси углерода на 100 000 населения,г. Бишкек,Мужчины,На 100 000 населения,18
