Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Уровень образования,Units,Value
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,21.1
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,22.0
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,22.8
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,23.1
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 20 лет,Короткий цикл третичного образования,PT,23.1
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,16.0
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,23.8
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,24.3
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,24.2
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,25.2
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,26.4
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,26.4
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 20 лет,Короткий цикл третичного образования,PT,26.5
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,11.2
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,16.8
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,18.0
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,18.0
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,18.8
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,19.3
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,19.9
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 20 лет,Короткий цикл третичного образования,PT,19.8
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,24.3
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,24.3
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,23.8
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,22.6
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,20.2
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,19.1
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,19.8
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,22.1
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,26.3
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,26.7
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,26.5
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,24.6
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,22.2
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,20.6
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,21.3
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,Женщины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,23.5
2010,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,22.4
2013,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,21.8
2014,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,21.2
2015,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,20.6
2016,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,18.3
2017,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,17.4
2018,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,18.3
2019,Годовая,Национальный,_L_KG_040301_1,Киргизия,Мужчины,от 17 до 24 лет,Высшее образование (бакалавриат и магистратура или эквиваленты),PT,20.8
