Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Вид экономической деятельности,Units,Value
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 45 до 49 лет ,,,PT,20.3
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 45 до 49 лет ,,,PT,15.1
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 45 до 49 лет ,,,PT,15.3
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 45 до 49 лет ,,,PT,13.5
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 50 до 54 лет,,,PT,12.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 50 до 54 лет,,,PT,11.3
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 50 до 54 лет,,,PT,10.8
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 50 до 54 лет,,,PT,12.5
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 55 до 59 лет,,,PT,11.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 55 до 59 лет,,,PT,8.4
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 55 до 59 лет,,,PT,10.3
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 55 до 59 лет,,,PT,9.5
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 60 до 64 лет ,,,PT,9.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 60 до 64 лет ,,,PT,14.2
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 60 до 64 лет ,,,PT,14.3
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 60 до 64 лет ,,,PT,12.0
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 65 до 69 лет,,,PT,5.3
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 65 до 69 лет,,,PT,7.6
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 65 до 69 лет,,,PT,6.2
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,от 65 до 69 лет,,,PT,4.8
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,70 лет и старше,,,PT,4.3
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,70 лет и старше,,,PT,13.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,70 лет и старше,,,PT,10.6
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,70 лет и старше,,,PT,3.7
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Городская,,PT,18.1
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Городская,,PT,11.8
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Городская,,PT,13.2
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Городская,,PT,13.0
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Сельская,,PT,25.5
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Сельская,,PT,21.8
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Сельская,,PT,20.7
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,Сельская,,PT,16.9
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",PT,29.1
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",PT,24.5
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",PT,22.6
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Сельское хозяйство, лесоводство и рыболовство",PT,21.9
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Горнодобывающая промышленность и разработка карьеров,PT,25.7
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Горнодобывающая промышленность и разработка карьеров,PT,17.4
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Горнодобывающая промышленность и разработка карьеров,PT,43.5
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Горнодобывающая промышленность и разработка карьеров,PT,46.5
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Обрабатывающая промышленность,PT,20.7
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Обрабатывающая промышленность,PT,16.8
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Обрабатывающая промышленность,PT,19.3
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Обрабатывающая промышленность,PT,13.0
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",PT,10.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",PT,6.7
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",PT,16.8
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Снабжение электричеством, газом, паром и кондиционированным воздухом",PT,9.9
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",PT,8.8
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",PT,11.0
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",PT,16.9
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Водоснабжение; системы канализации, удаление отходов и меры по восстановлению окружающей среды",PT,14.4
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Строительство,PT,30.5
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Строительство,PT,21.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Строительство,PT,25.2
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Строительство,PT,18.3
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,PT,17.0
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,PT,13.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,PT,12.7
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Оптовая и розничная торговля; ремонт автомобилей и мотоциклов,PT,12.4
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Транспорт и складское хозяйство,PT,22.3
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Транспорт и складское хозяйство,PT,20.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Транспорт и складское хозяйство,PT,18.0
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Транспорт и складское хозяйство,PT,14.2
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Размещение и общественное питание,PT,18.2
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Размещение и общественное питание,PT,14.0
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Размещение и общественное питание,PT,10.5
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Размещение и общественное питание,PT,10.1
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Информация и связь,PT,23.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Информация и связь,PT,12.6
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Информация и связь,PT,7.2
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Информация и связь,PT,7.4
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Финансовая деятельность и страхование,PT,10.5
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Финансовая деятельность и страхование,PT,7.0
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Финансовая деятельность и страхование,PT,11.9
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Финансовая деятельность и страхование,PT,10.7
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Операции с недвижимым имуществом,PT,3.9
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Операции с недвижимым имуществом,PT,1.6
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Операции с недвижимым имуществом,PT,1.9
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Профессиональная, научная и техническая деятельность",PT,19.0
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Профессиональная, научная и техническая деятельность",PT,6.4
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Профессиональная, научная и техническая деятельность",PT,10.7
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Профессиональная, научная и техническая деятельность",PT,6.2
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере административных и вспомогательных услуг,PT,13.6
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере административных и вспомогательных услуг,PT,9.7
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере административных и вспомогательных услуг,PT,17.4
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере административных и вспомогательных услуг,PT,10.9
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Государственное управление и оборона; обязательное социальное страхование,PT,16.9
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Государственное управление и оборона; обязательное социальное страхование,PT,9.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Государственное управление и оборона; обязательное социальное страхование,PT,10.1
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Государственное управление и оборона; обязательное социальное страхование,PT,6.6
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Образование,PT,20.4
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Образование,PT,16.1
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Образование,PT,18.6
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Образование,PT,18.9
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере здравоохранения и социальных услуг,PT,13.3
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере здравоохранения и социальных услуг,PT,11.6
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере здравоохранения и социальных услуг,PT,15.2
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность в сфере здравоохранения и социальных услуг,PT,12.0
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Искусство, сфера развлечений и отдыха",PT,24.9
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Искусство, сфера развлечений и отдыха",PT,22.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Искусство, сфера развлечений и отдыха",PT,13.5
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,"Искусство, сфера развлечений и отдыха",PT,10.0
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Прочие виды деятельности в сфере услуг,PT,14.3
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Прочие виды деятельности в сфере услуг,PT,10.5
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Прочие виды деятельности в сфере услуг,PT,9.7
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Прочие виды деятельности в сфере услуг,PT,9.1
2015,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,PT,24.0
2016,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,PT,46.9
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,PT,31.5
2018,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность домашних хозяйств в качестве работодателей; недифференцированная деятельность домашних хозяйств по производству товаров и услуг для собственного использования,PT,23.4
2017,Годовая,Национальный,_L_KG_010201_1A,Киргизия,,,,Деятельность экстерриториальных организаций и органов,PT,15.6
