Year,Частота наблюдений,Тип отчетности,Series,Территория,Тип продукта,Units,Value
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,99.393939
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,99.494949
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,99.494949
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,108.282828
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,108.282828
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,107.7
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Картофель,Процент,141.4
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,131.3
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,131.2
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,131.052632
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,130.701754
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,131.578947
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,139.473684
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,141.403509
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,153.0
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Овощи и бахчевые,Процент,159.3
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,24.193548
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,23.225806
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,19.274194
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,21.612903
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,23.467742
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,25.16129
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,34.919355
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,34.5
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Фрукты и ягоды,Процент,27.0
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,146.666259
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,146.492793
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,145.712192
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,147.44686
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,147.44686
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,146.579526
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,143.659907
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,129.855851
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия," Пшеница и продукты ее переработки  , в муке",Процент,99.071586
2010,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,16.483516
2011,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,20.879121
2012,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,20.879121
2013,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,20.879121
2014,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,20.879121
2015,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,20.879121
2016,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,9.602909
2017,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,9.89011
2018,Годовая,Национальный,"Среднедушевое потребление основных продуктов питания по отношению к среднефизиологическим нормам,в % %",Киргизия,Рыба и рыбопродукты,Процент,8.791209
