Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Степень урбанизации,Unit of measure,Value
2003,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,59.23848
2004,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,49.4
2005,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,52.267834
2006,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,46.086276
2007,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,46.663125
2008,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,45.363642
2009,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,38.386768
2010,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,44.47285
2011,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,51.442437
2012,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,60.754126
2013,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,48.726107
2014,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,53.02
2015,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,58.534524
2016,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,48.6979
2017,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,55.5006
2018,Annual,National,Prevalence of undernourishment,Kyrgyzstan,городская местность,Процент,51.6
2000,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,55.809151
2001,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,73.45241800000001
2002,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,42.634369
2003,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,53.09216899999999
2004,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,48.1
2005,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,47.848938000000004
2006,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,48.420365999999994
2007,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,49.514891
2008,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,45.039446000000005
2009,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,41.917619
2010,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,41.073296
2011,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,40.705385
2012,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,45.363875
2013,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,48.57992
2014,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,45.06
2015,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,46.84518
2016,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,43.9253
2017,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,47.0111
2018,Annual,National,Prevalence of undernourishment,Kyrgyzstan,сельская местность,Процент,43.5
2000,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,59.339716
2001,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,61.621051
2002,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,36.961393
2003,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,42.329001
2004,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,37.049508
2005,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,53.54665
2006,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,47.900712
2007,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,30.186768
2008,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,37.443818
2009,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,48.591583
2010,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,42.666903000000005
2011,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,44.064464
2012,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,50.49106
2013,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,62.932382
2014,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,53.566019999999995
2015,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,49.799251
2016,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,52.9718
2017,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,52.4614
2018,Annual,National,Prevalence of undernourishment,Баткенская область,,Процент,54.6
2000,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,59.287149
2001,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,81.005572
2002,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,42.498121999999995
2003,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,57.011499
2004,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,51.655713
2005,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,61.433801
2006,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,52.669155
2007,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,61.23400899999999
2008,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,51.475346
2009,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,34.357172
2010,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,45.552551
2011,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,41.458589
2012,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,56.178596999999996
2013,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,55.445404
2014,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,54.779706999999995
2015,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,55.904828
2016,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,48.1947
2017,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,41.1944
2018,Annual,National,Prevalence of undernourishment,Жалал-Абад область,,Процент,44.0
2000,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,65.030908
2001,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,78.831057
2002,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,60.063825
2003,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,52.018784000000004
2004,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,40.999171000000004
2005,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,46.03717
2006,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,49.877805
2007,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,50.802119
2008,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,54.86160600000001
2009,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,44.383158
2010,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,43.452039
2011,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,41.044025
2012,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,36.987697
2013,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,39.824088
2014,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,42.638658
2015,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,46.284209000000004
2016,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,45.0267
2017,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,51.7617
2018,Annual,National,Prevalence of undernourishment,Иссык-Кульская область,,Процент,49.4
2000,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,69.421773
2001,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,83.85490899999999
2002,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,61.635086
2003,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,56.394478
2004,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,64.60790899999999
2005,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,41.085248
2006,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,44.647005
2007,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,54.99528299999999
2008,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,46.270674
2009,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,45.332789
2010,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,53.95726
2011,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,55.074815
2012,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,50.991559
2013,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,49.875233
2014,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,54.149214
2015,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,50.007164
2016,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,52.6105
2017,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,41.3079
2018,Annual,National,Prevalence of undernourishment,Нарынская область,,Процент,42.5
2000,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,61.998934999999996
2001,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,79.954728
2002,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,54.709140000000005
2003,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,61.826885
2004,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,55.635298999999996
2005,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,53.173235999999996
2006,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,61.10215600000001
2007,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,57.709264000000005
2008,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,50.124177
2009,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,46.700596000000004
2010,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,46.190482
2011,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,47.071675
2012,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,54.141276
2013,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,47.140617999999996
2014,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,33.115
2015,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,37.884188
2016,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,39.4276
2017,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,42.7541
2018,Annual,National,Prevalence of undernourishment,Ошская область,,Процент,41.5
2000,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,63.975403
2001,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,77.544184
2002,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,49.613657
2003,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,57.113622
2004,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,56.048502
2005,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,42.225864
2006,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,48.801285
2007,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,44.743736
2008,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,46.638489
2009,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,39.560145
2010,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,38.135796
2011,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,41.962558
2012,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,42.399891
2013,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,23.469023
2014,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,27.367497999999998
2015,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,28.689411
2016,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,27.3539
2017,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,34.8662
2018,Annual,National,Prevalence of undernourishment,Таласская область,,Процент,36.1
2000,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,46.583904
2001,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,64.318147
2002,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,39.251546999999995
2003,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,39.42033
2004,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,33.925261
2005,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,33.550114
2006,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,27.796784999999996
2007,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,31.993627000000004
2008,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,32.482469
2009,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,35.879613
2010,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,30.869436
2011,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,39.349758
2012,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,35.689813
2013,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,44.223608
2014,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,51.04221
2015,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,52.441412
2016,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,43.6365
2017,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,58.4127
2018,Annual,National,Prevalence of undernourishment,Чуйская область,,Процент,41.2
2000,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,68.003731
2001,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,85.640504
2002,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,68.047002
2003,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,65.35321
2004,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,47.933479999999996
2005,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,48.511241
2006,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,37.044933
2007,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,40.680531
2008,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,39.336853000000005
2009,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,35.924393
2010,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,39.823376
2011,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,49.68253
2012,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,63.775511
2013,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,43.930005
2014,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,54.03263199999999
2015,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,65.190118
2016,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,49.217
2017,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,60.2912
2018,Annual,National,Prevalence of undernourishment,г. Бишкек,,Процент,51.8
2013,Annual,National,Prevalence of undernourishment,г. Ош,,Процент,69.262253
2014,Annual,National,Prevalence of undernourishment,г. Ош,,Процент,67.223461
2015,Annual,National,Prevalence of undernourishment,г. Ош,,Процент,67.70075899999999
2016,Annual,National,Prevalence of undernourishment,г. Ош,,Процент,54.4469
2017,Annual,National,Prevalence of undernourishment,г. Ош,,Процент,72.2366
2018,Annual,National,Prevalence of undernourishment,г. Ош,,Процент,70.1
