Year,Статус наблюдения,Множитель,Характер данных,Частота наблюдений,Тип отчетности,Series,Территория,Возраст,Тип местности,Units,Value
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,32.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,36.8
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,17.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,39.7
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,44.8
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,50.9
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Городская,PT,51.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,17.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,23.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,9.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,24.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,29.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,31.1
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Нарынская область,от 1 до 6 лет,Сельская,PT,32.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,11.6
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,13.1
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,14.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,16.3
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,17.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,18.2
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,,PT,19.7
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,15.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,16.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,15.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,18.1
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,17.7
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,15.6
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Городская,PT,17.0
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,11.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,12.9
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,14.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,16.2
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,17.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,18.4
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Ошская область,от 1 до 6 лет,Сельская,PT,19.9
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,14.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,17.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,20.6
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,20.8
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,22.2
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,24.4
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,,PT,26.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,49.4
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,58.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,66.1
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,65.6
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,67.1
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,65.9
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Городская,PT,65.3
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,10.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,12.3
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,15.8
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,16.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,17.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,19.3
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Таласская область,от 1 до 6 лет,Сельская,PT,21.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,12.5
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,16.0
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,16.5
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,18.5
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,19.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,21.1
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,,PT,21.8
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,24.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,27.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,26.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,30.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,32.3
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,33.5
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Городская,PT,35.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,9.3
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,12.6
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,13.3
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,14.9
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,15.5
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,17.7
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,Чуйская область,от 1 до 6 лет,Сельская,PT,18.4
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,31.0
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,29.4
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,27.9
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,28.0
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,29.6
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,29.5
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Бишкек,от 1 до 6 лет,Городская,PT,28.2
2013,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,41.9
2014,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,49.7
2015,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,48.2
2016,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,49.4
2017,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,47.9
2018,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,48.8
2019,Нормальное значение,Единицы,Страновые данные,Годовая,Национальный,_L_KG_040202_1A,г. Ош,от 1 до 6 лет,Городская,PT,43.3
