Year,Frequency of observation,Reporting type,Series,Справочная зона (условная зона),пол,Units,Value
2007,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",80.315042
2008,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",81.679899
2009,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",82.704723
2010,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",81.83755
2011,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",78.880836
2012,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",90.334237
2013,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",90.032265
2014,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",86.073371
2015,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",72.743563
2016,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",67.061001
2017,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",70.8
2018,Annual,National,Tuberculosis incidence,Баткенская область,,"Per 100,000 population",64.887679
2007,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",70.837249
2008,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",67.32306700000001
2009,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",81.332337
2010,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",62.3
2011,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",63.9
2012,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",79.7
2013,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",81.0
2014,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",78.8
2015,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",63.1
2016,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",66.6
2017,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",65.7
2018,Annual,National,Tuberculosis incidence,Баткенская область,женский,"Per 100,000 population",60.420827
2007,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",89.74509599999999
2008,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",95.98673000000001
2009,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",84.03016
2010,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",100.8
2011,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",93.4
2012,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",100.7
2013,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",98.8
2014,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",93.2
2015,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",82.0
2016,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",67.5
2017,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",75.7
2018,Annual,National,Tuberculosis incidence,Баткенская область,мужской,"Per 100,000 population",69.19237700000001
2007,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",91.916186
2008,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",88.33931199999999
2009,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",87.78748900000001
2010,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",85.931674
2011,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",82.549369
2012,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",86.910818
2013,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",80.886516
2014,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",85.34428
2015,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",76.512241
2016,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",84.915163
2017,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",80.2
2018,Annual,National,Tuberculosis incidence,Жалал-Абад область,,"Per 100,000 population",73.346827
2007,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",75.21800999999999
2008,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",71.207543
2009,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",71.79005699999999
2010,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",74.3
2011,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",72.983333
2012,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",75.789204
2013,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",74.3
2014,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",81.8
2015,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",66.2
2016,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",79.5
2017,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",72.8
2018,Annual,National,Tuberculosis incidence,Жалал-Абад область,женский,"Per 100,000 population",64.089585
2007,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",108.757553
2008,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",105.62176399999998
2009,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",103.75711
2010,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",97.6
2011,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",92.090531
2012,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",97.991089
2013,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",87.5
2014,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",88.8
2015,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",86.7
2016,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",90.3
2017,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",87.5
2018,Annual,National,Tuberculosis incidence,Жалал-Абад область,мужской,"Per 100,000 population",82.492292
2007,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",74.81839699999999
2008,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",65.710142
2009,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",68.260473
2010,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",67.280621
2011,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",68.345501
2012,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",70.114091
2013,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",69.96319799999999
2014,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",63.962325
2015,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",58.459621
2016,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",60.411218999999996
2017,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",48.6
2018,Annual,National,Tuberculosis incidence,Иссык-Кульская область,,"Per 100,000 population",48.933537
2007,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",57.509562
2008,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",56.84919
2009,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",57.584509999999995
2010,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",55.0
2011,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",53.747679000000005
2012,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",57.222843000000005
2013,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",57.9
2014,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",51.3
2015,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",48.5
2016,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",53.8
2017,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",34.8
2018,Annual,National,Tuberculosis incidence,Иссык-Кульская область,женский,"Per 100,000 population",34.802403999999996
2007,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",92.654432
2008,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",74.822647
2009,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",79.185677
2010,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",79.8
2011,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",83.206714
2012,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",83.21700799999999
2013,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",82.2
2014,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",76.8
2015,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",68.5
2016,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",67.1
2017,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",62.4
2018,Annual,National,Tuberculosis incidence,Иссык-Кульская область,мужской,"Per 100,000 population",63.187107999999995
2007,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",89.134835
2008,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",101.241128
2009,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",97.171948
2010,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",103.928178
2011,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",95.24098599999999
2012,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",105.056599
2013,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",90.465191
2014,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",98.190078
2015,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",84.752208
2016,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",77.322632
2017,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",59.5
2018,Annual,National,Tuberculosis incidence,Нарынская область,,"Per 100,000 population",67.95977099999999
2007,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",73.136894
2008,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",93.896008
2009,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",87.733728
2010,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",85.5
2011,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",86.159148
2012,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",83.765487
2013,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",76.0
2014,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",87.0
2015,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",75.0
2016,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",63.3
2017,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",49.0
2018,Annual,National,Tuberculosis incidence,Нарынская область,женский,"Per 100,000 population",47.075606
2007,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",104.664525
2008,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",108.341574
2009,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",106.394379
2010,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",121.9
2011,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",104.08086899999999
2012,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",125.735925
2013,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",104.4
2014,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",109.0
2015,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",94.2
2016,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",91.0
2017,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",69.6
2018,Annual,National,Tuberculosis incidence,Нарынская область,мужской,"Per 100,000 population",88.116038
2007,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",102.866708
2008,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",97.93956999999999
2009,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",99.50311500000001
2010,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",90.272855
2011,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",86.981785
2012,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",89.531841
2013,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",97.42358399999999
2014,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",90.681619
2015,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",91.23786899999999
2016,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",83.857442
2017,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",84.4
2018,Annual,National,Tuberculosis incidence,Ошская область,,"Per 100,000 population",75.003106
2007,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",85.479058
2008,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",79.853854
2009,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",84.498903
2010,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",83.3
2011,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",78.306875
2012,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",79.852654
2013,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",89.2
2014,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",82.7
2015,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",83.8
2016,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",78.4
2017,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",73.3
2018,Annual,National,Tuberculosis incidence,Ошская область,женский,"Per 100,000 population",68.791282
2007,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",120.17593500000001
2008,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",115.96536599999999
2009,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",114.26834299999999
2010,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",97.1
2011,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",95.537626
2012,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",99.072585
2013,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",105.5
2014,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",98.5
2015,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",98.5
2016,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",89.2
2017,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",95.3
2018,Annual,National,Tuberculosis incidence,Ошская область,мужской,"Per 100,000 population",81.086922
2007,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",109.772016
2008,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",98.863075
2009,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",98.836801
2010,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",105.89956000000001
2011,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",107.889182
2012,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",96.876369
2013,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",106.455247
2014,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",101.92599399999999
2015,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",95.886509
2016,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",83.723318
2017,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",73.9
2018,Annual,National,Tuberculosis incidence,Таласская область,,"Per 100,000 population",59.722977
2007,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",86.911498
2008,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",90.931636
2009,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",76.560919
2010,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",87.0
2011,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",90.31325799999999
2012,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",85.593946
2013,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",89.3
2014,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",89.6
2015,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",81.0
2016,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",67.0
2017,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",66.0
2018,Annual,National,Tuberculosis incidence,Таласская область,женский,"Per 100,000 population",46.443942
2007,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",132.527127
2008,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",106.730401
2009,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",121.03776699999999
2010,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",124.6
2011,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",125.307942
2012,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",108.024821
2013,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",123.4
2014,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",114.1
2015,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",110.5
2016,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",100.1
2017,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",81.6
2018,Annual,National,Tuberculosis incidence,Таласская область,мужской,"Per 100,000 population",72.71735699999999
2007,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",158.506191
2008,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",166.836568
2009,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",155.18168899999998
2010,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",154.517607
2011,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",158.53919199999999
2012,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",156.78039099999998
2013,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",144.320612
2014,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",129.231041
2015,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",141.654663
2016,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",135.218207
2017,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",136.2
2018,Annual,National,Tuberculosis incidence,Чуйская область,,"Per 100,000 population",124.217601
2007,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",125.927217
2008,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",125.534299
2009,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",117.922225
2010,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",125.0
2011,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",112.21888200000001
2012,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",111.42140500000001
2013,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",108.3
2014,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",108.3
2015,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",118.6
2016,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",111.0
2017,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",108.3
2018,Annual,National,Tuberculosis incidence,Чуйская область,женский,"Per 100,000 population",99.197956
2007,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",191.988363
2008,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",209.227296
2009,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",193.791585
2010,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",185.1
2011,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",206.421677
2012,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",203.602691
2013,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",181.5
2014,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",150.8
2015,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",165.4
2016,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",160.2
2017,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",165.0
2018,Annual,National,Tuberculosis incidence,Чуйская область,мужской,"Per 100,000 population",150.009376
2007,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",174.387607
2008,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",123.075571
2009,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",114.473037
2010,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",113.11275800000001
2011,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",114.984154
2012,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",123.691851
2013,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",126.393198
2014,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",133.511493
2015,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",132.924152
2016,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",114.6052
2017,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",113.1
2018,Annual,National,Tuberculosis incidence,г. Бишкек,,"Per 100,000 population",102.592405
2007,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",121.38989099999999
2008,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",101.464217
2009,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",90.39282
2010,Annual,National,Tuberculosis incidence,г. Бишкек,женский,"Per 100,000 population",91.9
