Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.115744
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.045346
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.080837
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.16137
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.299119
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.265036
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.4
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Джалал-Абадская область,Процент,99.4
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.294245
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.008513
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.274602
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.414531
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.463221
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.435996
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.427262
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.451005
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.391542
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.422551
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.5
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Иссык-Кульская область,Процент,99.5
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,97.720601
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.116039
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.275296
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,97.822417
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.680426
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.696845
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.717291
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.817416
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.774112
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,98.787433
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,99.0
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Нарынская область,Процент,99.2
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,96.877363
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,97.394325
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,96.451545
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,96.52909
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,97.299639
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,97.817694
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,98.222659
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,98.874035
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,99.087129
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,99.070282
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,99.1
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Ошская область,Процент,99.1
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.285714
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.252883
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.270189
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.485821
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.688576
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.660672
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.694501
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.680296
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.729775
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.713877
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.5
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Таласская область,Процент,99.7
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.023641
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.18247
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.161879
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.199707
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.107284
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.152542
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.134263
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.23354
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.163311
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.176269
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.2
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",Чуйская область,Процент,99.2
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.435435
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.586624
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.621193
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.598067
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.46062
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.614421
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.611183
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.609444
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.494367
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.479551
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.5
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Бишкек,Процент,99.6
2007,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,98.916283
2008,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,98.982971
2009,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,98.918685
2010,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,97.390903
2011,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.342208
2012,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,98.973247
2013,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.300699
2014,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.388163
2015,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.258076
2016,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.319952
2017,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.5
2018,Годовая,Национальный,"Доля родов, принятых квалифицированными медицинскими работниками",г. Ош,Процент,99.7
