Year,Частота наблюдений,Тип отчетности,Series,Территория,Составная разбивка,Units,Value
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,286.2
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,264.6
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,264.6
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,268.3
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,249.0
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,244.0
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Джалал-Абадская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,237.8
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,425.5
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,400.8
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,378.8
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,391.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,360.5
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,394.9
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,385.8
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,363.0
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,361.0
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,328.7
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,325.9
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Иссык-Кульская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,302.0
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,338.0
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,314.3
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,289.6
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,301.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,326.3
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,318.2
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,327.4
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,317.6
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,310.0
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,312.8
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,302.7
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Нарынская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,308.0
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,256.5
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,263.2
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,278.7
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,285.1
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,275.2
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,281.6
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,264.4
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,273.0
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,265.7
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,239.0
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,240.8
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Ошская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,229.3
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,361.0
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,353.3
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,363.8
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,333.8
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,345.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,342.5
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,309.8
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,332.7
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,322.5
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,288.7
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,301.9
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Таласская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,261.5
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,562.2
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,553.3
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,479.6
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,484.0
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,467.0
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,466.9
2013,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,441.6
2014,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,430.2
2015,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,400.8
2016,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,381.3
2017,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,377.7
2018,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",Чуйская область,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,377.1
2007,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,368.8
2008,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,337.4
2009,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,303.9
2010,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,298.3
2011,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,305.4
2012,Годовая,Национальный,"Коэффициент смертности от сердечно-сосудистых заболеваний, рака, диабета, хронических респираторных заболеваний",г. Бишкек,Неинфекционные заболевания: Сердечно-сосудистые заболевания,На 100 000 населения,297.0
