Year,Статус наблюдения,Множитель,Характер данных,Сноски на уровне наблюдения,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Units,Value
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,г. Бишкек,,,,,,PT,7.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,г. Бишкек,,,,,,PT,5.9
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,г. Ош,,,,,,PT,12.1
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,г. Ош,,,,,,PT,10.9
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,Мужчины,,,,,PT,13.8
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,Мужчины,,,,,PT,12.5
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,Женщины,,,,,PT,12.0
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,Женщины,,,,,PT,10.9
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,Городская,,,PT,11.8
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,Городская,,,PT,8.8
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,Сельская,,,PT,13.4
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,Сельская,,,PT,13.1
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 0 до 5 месяцев,,,,PT,5.3
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 0 до 5 месяцев,,,,PT,5.4
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 6 до 11 месяцев,,,,PT,7.2
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 6 до 11 месяцев,,,,PT,9.3
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 12 до 17 месяцев,,,,PT,11.2
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 12 до 17 месяцев,,,,PT,12.1
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 18 до 23 месяцев,,,,PT,18.2
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 18 до 23 месяцев,,,,PT,17.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 24 до 35 месяцев,,,,PT,18.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 24 до 35 месяцев,,,,PT,13.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 36 до 47 месяцев,,,,PT,14.6
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 36 до 47 месяцев,,,,PT,11.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,от 48 до 59 месяцев,,,,PT,10.5
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,от 48 до 59 месяцев,,,,PT,12.7
2014,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Начальное образование,PT,26.5
2014,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Первый этап среднего образования,PT,17.1
2018,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Первый этап среднего образования,PT,14.8
2014,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Второй этап среднего образования,PT,13.5
2018,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Второй этап среднего образования,PT,12.0
2014,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Послесреднее нетретичное образование,PT,11.8
2018,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Послесреднее нетретичное образование,PT,12.2
2014,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Короткий цикл третичного образования,PT,9.8
2018,Нормальное значение,Единицы,Страновые данные,Education of mother,Годовая,Национальный,SH_STA_STNT,,,,,,Короткий цикл третичного образования,PT,10.0
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 1 (беднейшие),,PT,17.7
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 1 (беднейшие),,PT,14.0
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 2,,PT,14.2
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 2,,PT,13.8
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 3,,PT,10.1
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 3,,PT,12.0
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 4,,PT,10.7
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 4,,PT,8.2
2014,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey,2014",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 5 (богатейшие),,PT,10.7
2018,Нормальное значение,Единицы,Страновые данные,"According to Multiple Indicator Cluster Survey, 2018.",Годовая,Национальный,SH_STA_STNT,,,,,Квинтиль 5 (богатейшие),,PT,9.2
