Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Ошская область,Index,18.022223
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Ошская область,Index,0.07913
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Ошская область,Index,16.9
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Ошская область,Index,5.4
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Ошская область,Index,12.597911
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Таласская область,Index,16.930727
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Таласская область,Index,15.126177
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Таласская область,Index,17.2
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Таласская область,Index,24.8
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Таласская область,Index,29.450445
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Чуйская область,Index,25.703179
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Чуйская область,Index,26.618611
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Чуйская область,Index,28.8
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Чуйская область,Index,16.2
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",Чуйская область,Index,17.355551
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Бишкек,Index,-9.015999
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Бишкек,Index,-11.403693
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Бишкек,Index,-3.4
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Бишкек,Index,-12.8
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Бишкек,Index,-17.985899
2015,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Ош,Index,10.609517
2016,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Ош,Index,25.440447
2017,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Ош,Index,37.2
2018,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Ош,Index,39.6
2019,Annual,National,"Index ""Personal perception of corruption level in state bodies of executive power and local self-government bodies""",г. Ош,Index,22.751648
