Year,Частота наблюдений,Тип отчетности,Series,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Статус инвалидности,Units,Value
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",г. Бишкек,Женщины,,,,,,Процент,8.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",г. Ош,Женщины,,,,,,Процент,7.0
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 15 до 19 лет ,,,,,Процент,6.5
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 15 до 17 лет ,,,,,Процент,5.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 18 до 19 лет ,,,,,Процент,8.3
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 20 до 24 лет,,,,,Процент,9.1
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 25 до 29 лет,,,,,Процент,7.1
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 30 до 34 лет ,,,,,Процент,8.8
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 35 до 39 лет,,,,,Процент,8.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 40 до 44 лет ,,,,,Процент,6.4
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,от 45 до 49 лет ,,,,,Процент,7.0
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,Программы развития детей младшего возраста,,Процент,
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,Первый этап среднего образования,,Процент,14.0
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,Второй этап среднего образования,,Процент,5.9
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,Послесреднее нетретичное образование,,Процент,6.9
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,Высшее образование (бакалавриат и магистратура или эквиваленты),,Процент,8.2
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,,Лица с инвалидностью,Процент,20.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,,,Лица без инвалидности,Процент,7.6
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,Квинтиль 1 (беднейшие),,,Процент,6.0
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,Квинтиль 2,,,Процент,6.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,Квинтиль 3,,,Процент,9.7
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,Квинтиль 4,,,Процент,7.1
2018,Годовая,Национальный,"Доля женщин в возрасте 15–49 лет, сообщивших о личной дискриминации или преследованиях в последние 12 месяцев на основании, дискриминация на котором запрещена международным правом в области прав человека",Киргизия,Женщины,,,Квинтиль 5 (богатейшие),,,Процент,8.8
