Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),Unit of measure,Value
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.816328
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.784158
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.825505
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.806951
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.784064
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.772172
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.795667
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.823182
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.858228
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Таласская область,Процент,0.833649
2007,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.958299
2008,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.994251
2009,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.939437
2010,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.922485
2011,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.949861
2012,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.969888
2013,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.916154
2014,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.902321
2015,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.905696
2016,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.915556
2017,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.90932
2018,Annual,National,Proportion of population covered by at least one social protection benefit,Чуйская область,Процент,1.9317
2007,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.509824
2008,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.790383
2009,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.762552
2010,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.755274
2011,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.761641
2012,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.798812
2013,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.753774
2014,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.74105
2015,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.736014
2016,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.742989
2017,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.766738
2018,Annual,National,Proportion of population covered by at least one social protection benefit,г. Бишкек,Процент,1.77006
2007,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.492895
2008,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.48253
2009,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.463676
2010,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.473654
2011,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.470606
2012,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.460852
2013,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.454024
2014,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.452311
2015,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.452797
2016,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.445767
2017,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.446591
2018,Annual,National,Proportion of population covered by at least one social protection benefit,г. Ош,Процент,0.455388
