Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2008,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",46.2
2009,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",105.5
2010,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",69.6
2011,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",83.3
2012,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",56.2
2013,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",29.0
2014,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",135.7
2015,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",30.6
2016,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",43.7
2018,Annual,National,Maternal mortality ratio,Нарынская область,женский,"Per 100,000 live births",105.7
2007,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",26.0
2008,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",54.4
2009,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",93.2
2010,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",78.6
2011,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",62.5
2012,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",58.1
2013,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",42.8
2014,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",43.4
2015,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",43.4
2016,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",24.9
2017,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",25.6
2018,Annual,National,Maternal mortality ratio,Ошская область,женский,"Per 100,000 live births",19.5
2007,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",120.3
2008,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",51.1
2009,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",61.3
2010,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",87.0
2011,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",40.9
2012,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",14.1
2013,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",14.8
2014,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",44.6
2015,Annual,National,Maternal mortality ratio,Таласская область,женский,"Per 100,000 live births",15.1
2007,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",78.3
2008,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",34.4
2009,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",61.1
2010,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",49.5
2011,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",69.0
2012,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",41.2
2013,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",50.4
2014,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",44.4
2015,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",40.3
2016,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",47.9
2017,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",22.9
2018,Annual,National,Maternal mortality ratio,Чуйская область,женский,"Per 100,000 live births",4.0
2007,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",17.3
2008,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",22.0
2009,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",20.4
2010,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",19.4
2011,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",43.3
2012,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",18.0
2013,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",26.1
2014,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",16.4
2015,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",30.5
2016,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",17.6
2017,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",13.4
2018,Annual,National,Maternal mortality ratio,г. Бишкек,женский,"Per 100,000 live births",18.0
2007,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",100.6
2008,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",38.6
2009,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",168.4
2011,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",35.7
2012,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",60.3
2013,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",15.0
2015,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",40.9
2016,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",13.5
2017,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",64.9
2018,Annual,National,Maternal mortality ratio,г. Ош,женский,"Per 100,000 live births",8.3
