Year,Frequency of observation,Reporting type,SDG Series,Справочная зона (условная зона),пол,Unit of measure,Value
2012,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,34.639723
2013,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,53.627067
2014,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,39.011011
2015,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,40.926454
2016,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,36.116547
2017,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,39.60454
2018,Annual,National,Proportion of population living below the national poverty line,Баткенская область,мужской,Процент,33.671054
2007,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,39.381264
2008,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,18.757343
2009,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,31.703885
2010,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,35.557934
2011,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,37.347648
2012,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,33.764476
2013,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,54.087839
2014,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,42.448702
2015,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,41.395882
2016,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,38.033369
2017,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,41.521176
2018,Annual,National,Proportion of population living below the national poverty line,Баткенская область,женский,Процент,33.888979
2007,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,53.037853
2008,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,40.086271
2009,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,36.873144
2010,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,44.705496
2011,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,45.290428
2012,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,55.657831
2013,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,46.412538
2014,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,46.435379
2015,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,45.092335
2016,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,32.247345
2017,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,32.58065
2018,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,,Процент,32.21518
2007,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,51.581913
2008,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,37.898731
2009,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,33.475027
2010,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,43.666948
2011,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,43.691714
2012,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,55.271782
2013,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,47.356836
2014,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,47.010505
2015,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,45.246248
2016,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,33.070935
2017,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,33.991288
2018,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,мужской,Процент,33.427506
2007,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,54.569086
2008,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,42.427936
2009,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,40.528056
2010,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,45.762936
2011,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,46.925946
2012,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,56.050613
2013,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,45.459524
2014,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,45.842338
2015,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,44.933484
2016,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,31.382458
2017,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,31.110381
2018,Annual,National,Proportion of population living below the national poverty line,Жалал-Абад область,женский,Процент,30.924895
2007,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,38.587156
2008,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,52.243736
2009,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,46.090374
2010,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,38.013539
2011,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,29.522755
2012,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,28.137635
2013,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,39.47799
2014,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,26.014325
2015,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,28.892638
2016,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,24.744553
2017,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,24.170329
2018,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,,Процент,21.52951
2007,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,38.684594
2008,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,52.152947
2009,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,47.889059
2010,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,36.910699
2011,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,31.115103
2012,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,28.242618
2013,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,40.42619
2014,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,26.354813
2015,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,29.07856
2016,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,24.749642
2017,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,24.266813
2018,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,мужской,Процент,21.495641
2007,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,38.498843
2008,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,52.32036
2009,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,44.51291
2010,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,39.006289
2011,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,28.112247
2012,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,28.021324
2013,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,38.474804
2014,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,25.663079
2015,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,28.701454
2016,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,24.739204
2017,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,24.067407
2018,Annual,National,Proportion of population living below the national poverty line,Иссык-Кульская область,женский,Процент,21.566132
2007,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,45.182679
2008,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,42.730284
2009,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,44.11792
2010,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,53.531335
2011,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,49.925098
2012,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,39.932299
2013,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,43.754395
2014,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,30.560927
2015,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,38.007029
2016,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,37.798212
2017,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,29.21834
2018,Annual,National,Proportion of population living below the national poverty line,Нарынская область,,Процент,30.596328
2007,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,46.868159
2008,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,42.698866
2009,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,44.838863
2010,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,53.397509
2011,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,48.269824
2012,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,37.664069
2013,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,44.781415
2014,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,32.369301
2015,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,39.504744
2016,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,39.601891
2017,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,31.189138
2018,Annual,National,Proportion of population living below the national poverty line,Нарынская область,мужской,Процент,31.5949
2007,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,43.678265
2008,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,42.757725
2009,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,43.496308
2010,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,53.676668
2011,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,51.728537
2012,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,42.395906
2013,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,42.671843
2014,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,28.643083
2015,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,36.407725
2016,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,35.859946
2017,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,27.069804
2018,Annual,National,Proportion of population living below the national poverty line,Нарынская область,женский,Процент,29.460632
2007,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,46.59161
2008,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,37.452826
2009,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,38.292036
2010,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,41.897118
2011,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,44.680774
2012,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,51.433698
2013,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,43.409369
2014,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,31.74014
2015,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,28.944511
2016,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,22.024663
2017,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,14.267617
2018,Annual,National,Proportion of population living below the national poverty line,Ошская область,,Процент,14.77862
2007,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,48.708186
2008,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,37.931554
2009,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,38.334636
2010,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,40.639754
2011,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,44.169695
2012,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,50.553916
2013,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,42.660819
2014,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,30.494417
2015,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,28.438703
2016,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,21.810872
2017,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,12.948415
2018,Annual,National,Proportion of population living below the national poverty line,Ошская область,мужской,Процент,15.25625
2007,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,44.295394
2008,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,36.91306
2009,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,38.245332
2010,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,43.246261
2011,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,45.24075
2012,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,52.41883
2013,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,44.228326
2014,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,33.102942
2015,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,29.48951
2016,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,22.264453
2017,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,15.723495
2018,Annual,National,Proportion of population living below the national poverty line,Ошская область,женский,Процент,14.253422
2007,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,35.259053
2008,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,42.972123
2009,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,33.003964
2010,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,42.338833
2011,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,50.172706
2012,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,39.57478
2013,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,23.057182
2014,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,19.048344
2015,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,21.481514
2016,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,18.115851
2017,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,20.679703
2018,Annual,National,Proportion of population living below the national poverty line,Таласская область,,Процент,22.085934
2007,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,35.524401
2008,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,45.40342
2009,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,35.673722
2010,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,44.324841
2011,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,51.365667
2012,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,42.155403
2013,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,23.320678
2014,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,19.717988
2015,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,22.565255
2016,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,19.131642
2017,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,21.40538
2018,Annual,National,Proportion of population living below the national poverty line,Таласская область,мужской,Процент,23.802663
2007,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,34.937966
2008,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,40.025342
2009,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,29.757565
2010,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,40.090318
2011,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,48.834977
2012,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,36.737399
2013,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,22.797196
2014,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,18.38895
2015,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,20.402521
2016,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,17.094741
2017,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,19.940922
2018,Annual,National,Proportion of population living below the national poverty line,Таласская область,женский,Процент,20.340712
2007,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,14.980994
2008,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,15.782631
2009,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,21.239381
2010,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,21.868453
2011,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,28.620908
2012,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,16.571766
2013,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,23.615399
2014,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,21.576154
2015,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,24.813851
2016,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,30.306457
2017,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,33.300588
2018,Annual,National,Proportion of population living below the national poverty line,Чуйская область,,Процент,15.569903
2007,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,13.323177
2008,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,14.947409
2009,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,20.612283
2010,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,21.810234
2011,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,31.580794
2012,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,16.336951
2013,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,23.536875
2014,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,20.781079
2015,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,24.23137
2016,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,29.796796
2017,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,32.33125
2018,Annual,National,Proportion of population living below the national poverty line,Чуйская область,мужской,Процент,15.460809
2007,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,16.816017
2008,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,16.656433
2009,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,21.936014
2010,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,21.932251
2011,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,25.292386
2012,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,16.835987
2013,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,23.697958
2014,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,22.438097
2015,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,25.448532
2016,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,30.862157
2017,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,34.357578
2018,Annual,National,Proportion of population living below the national poverty line,Чуйская область,женский,Процент,15.688805
2007,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,5.005041
2008,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,15.199877
2009,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,13.244359
2010,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,7.89363
2011,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,18.412319
2012,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,21.394253
2013,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,20.374195
2014,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,17.559795
2015,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,23.541813
2016,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,9.78144
2017,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,15.895977
2018,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,,Процент,15.431849
2007,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,4.99107
2008,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,14.580408
2009,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,12.694536
2010,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,7.30227
2011,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,17.126273
2012,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,19.902241
2013,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,18.389802
2014,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,15.756847
2015,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,22.249204
2016,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,8.899379
2017,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,14.320885
2018,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,мужской,Процент,14.746661
2007,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,5.022346
2008,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,15.989713
2009,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,13.950363
2010,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,8.654215
2011,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,20.038087
2012,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,23.294374
2013,Annual,National,Proportion of population living below the national poverty line,г. Бишкек,женский,Процент,22.845597
