Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,10.607867
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,9.737418
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,9.543011
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,7.394366
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Баткенская область,Процент,16.6215
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,11.271676
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,11.738535
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,10.985825
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,9.550419
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,13.407222
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,13.228863
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,14.223455
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,13.31045
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,12.970219
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,11.583637
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,10.880196
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Джалал-Абадская область,Процент,14.846672
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,8.540686
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,8.259986
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,9.315589
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,8.22112
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,8.420239
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,8.84919
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,9.235528
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,9.274194
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,9.147425
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,10.567515
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,10.426321
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Иссык-Кульская область,Процент,15.030146
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,10.864198
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,9.78836
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,11.829436
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,11.290323
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,12.066574
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,15.660685
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,16.021127
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,15.99297
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,13.204509
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,8.777429
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,6.107955
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Нарынская область,Процент,16.91678
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,16.491228
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,15.367483
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,13.901531
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,9.337676
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,15.801457
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,15.308989
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,13.977567
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,13.731473
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,12.995781
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,13.668061
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,13.422509
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Ошская область,Процент,18.432574
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,14.364035
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,10.358566
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,9.846154
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,12.527233
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,12.529002
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,12.204234
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,12.035851
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,10.376135
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,10.504775
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,5.898876
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,5.3125
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Таласская область,Процент,10.169492
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.955414
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.909974
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,6.102396
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.576827
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.305596
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.752841
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.859081
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.610561
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,4.5309
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,5.81876
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,6.0367
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,Чуйская область,Процент,10.008187
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,17.506545
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,15.300865
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,14.217706
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,15.744136
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,14.394252
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,14.448038
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,15.28626
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,14.864036
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,12.481577
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,12.093526
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,11.219696
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Бишкек,Процент,27.432647
2007,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,14.014055
2008,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,13.525773
2009,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,12.5
2010,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,5.6182
2011,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,12.006861
2012,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,10.845431
2013,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,11.443015
2014,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,9.732748
2015,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,9.389671
2016,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,10.341767
2017,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,10.013292
2018,Годовая,Национальный,Доля совершенных преступлений в общественных местах и на улицах от общего количества зарегистрированных преступлений,г. Ош,Процент,27.852349
