Year,Частота наблюдений,Тип отчетности,Series,Территория,Units,Value
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,4.1
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,3.5
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,3.5
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,2.8
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,2.4
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,2.3
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,1.5
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,1.4
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,2.2
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,0.9
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,1.3
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Джалал-Абадская область,На 100 000 населения,0.7
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,3.5
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,3.0
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,1.1
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,0.9
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,2.9
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,1.8
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,0.9
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,0.9
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,1.1
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,0.6
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,0.6
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Иссык-Кульская область,На 100 000 населения,0.6
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,5.1
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,3.1
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,3.1
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,3.1
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,4.2
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,2.6
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,1.5
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,1.5
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,2.2
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,0.7
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,1.4
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Нарынская область,На 100 000 населения,1.1
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,6.2
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,6.9
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,5.4
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,3.2
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,3.4
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,5.3
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,2.2
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,2.2
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,2.6
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,2.2
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,1.6
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Ошская область,На 100 000 населения,1.5
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,4.9
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,2.7
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,4.4
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,1.7
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,4.7
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,2.5
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,0.8
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,1.2
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,2.4
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,2.4
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,0.4
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Таласская область,На 100 000 населения,0.8
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,2.0
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,1.6
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,1.5
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,1.0
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,2.0
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,2.2
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,1.2
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,0.6
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,0.8
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,0.7
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,0.8
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",Чуйская область,На 100 000 населения,0.1
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,1.5
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,1.2
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.5
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.8
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,1.3
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.8
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.8
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.4
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.8
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.6
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.6
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Бишкек,На 100 000 населения,0.4
2007,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.4
2008,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.8
2009,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,1.5
2010,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,1.6
2011,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,1.2
2012,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.8
2013,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,1.1
2014,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,1.1
2015,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.4
2016,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.4
2017,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.7
2018,Годовая,Национальный,"Коэффициент смертности от отсутствия безопасной воды, безопасной санитарии и гигиены ",г. Ош,На 100 000 населения,0.7
