Year,Frequency of observation,Reporting type,Series,Reference area,Degree of urbanisation,Units,Value
2011,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,86.4
2012,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,88.7
2013,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,73.7
2014,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,72.9
2015,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,74.5
2016,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,76.4
2017,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,77.3
2018,Annual,National,Proportion of population using safely managed drinking water services,Osh,,Percent,83.2
2011,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,96.5
2012,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,97.6
2013,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.7
2014,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.7
2015,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.2
2016,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,100.0
2017,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.4
2018,Annual,National,Proportion of population using safely managed drinking water services,Talas,,Percent,99.4
2011,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,99.6
2012,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,99.8
2013,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2014,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2015,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2016,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2017,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2018,Annual,National,Proportion of population using safely managed drinking water services,Chui,,Percent,100.0
2011,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2012,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2013,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,99.8
2014,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,99.8
2015,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2016,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2017,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2018,Annual,National,Proportion of population using safely managed drinking water services,Bishkek (city),,Percent,100.0
2013,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,99.7
2014,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,96.5
2015,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,96.7
2016,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,100.0
2017,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,95.7
2018,Annual,National,Proportion of population using safely managed drinking water services,Osh (city),,Percent,96.5
