Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.4
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,34.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,35.1
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,26.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,33.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,31.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,26.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,24.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,30.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,31.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,19.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,23.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,26.7
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,12.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,9.3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,9.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,11.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,9.9
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,8.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,6.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,5.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,7.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,7.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,8.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,10.9
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.4
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,3.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,4.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,3.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,3.4
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.4
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,5.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,3.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,6.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,6.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,5.7
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,15.8
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,16.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,11.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,11.1
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,9.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,6.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,7.1
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,24.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,24.3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,21.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,16.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,16.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,12.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,9.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,10.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,8.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,8.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,6.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,6.5
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.5
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.5
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,5.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,4.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,4.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,6.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,3.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_POISN,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,2.7
