Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,96.8
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,95.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,96.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,96.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,98.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,97.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,98.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,98.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,98.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,96.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG05,CL_UNIT_MEASURE.PT,96.6
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,93.6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,95.6
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,95.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,95.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,94.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,95.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,97.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,94.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,96.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,95.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,93.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG03,CL_UNIT_MEASURE.PT,96.1
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,93.9
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.2
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,97.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,93.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,96.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,97.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,91.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,98.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,96.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.0
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,94.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,95.2
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,95.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,96.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,95.5
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,97.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,98.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,97.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,97.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,96.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,97.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG04,CL_UNIT_MEASURE.PT,94.8
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,94.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,94.5
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,95.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,95.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,93.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,93.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,96.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,98.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,97.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,98.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,96.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG06,CL_UNIT_MEASURE.PT,95.8
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,94.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,94.8
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,94.6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,96.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,95.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,96.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,96.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,93.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,96.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,95.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,93.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG07,CL_UNIT_MEASURE.PT,95.3
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,94.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,95.5
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,95.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,96.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,96.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,97.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,96.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,96.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,97.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,97.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,91.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG08,CL_UNIT_MEASURE.PT,92.5
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,95.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,94.9
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,95.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,96.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,96.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,97.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,96.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,93.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,94.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,90.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,86.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG11,CL_UNIT_MEASURE.PT,90.3
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,95.2
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,96.7
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,95.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,95.7
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,95.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,98.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,99.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,96.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,97.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,96.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,98.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_DTP3,CL_AREA.KG21,CL_UNIT_MEASURE.PT,95.2
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,98.8
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,99.1
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,98.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,98.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,98.666102
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,95.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,99.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,97.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,94.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG,CL_UNIT_MEASURE.PT,96.244215
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,99.2
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,99.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,99.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,97.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,95.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,100.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,99.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,98.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,97.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,99.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,98.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG05,CL_UNIT_MEASURE.PT,92.454654
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,97.8
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,99.2
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,98.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,98.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,100.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,99.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,99.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,91.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,100.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,95.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,88.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG03,CL_UNIT_MEASURE.PT,93.49863
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,99.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,99.7
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,99.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,99.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,96.9
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,97.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,98.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,97.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,95.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG02,CL_UNIT_MEASURE.PT,96.51199
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,CL_UNIT_MEASURE.PT,99.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,CL_UNIT_MEASURE.PT,99.1
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_ACS_MCV2,CL_AREA.KG04,CL_UNIT_MEASURE.PT,98.9
