Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Units,Value
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,67.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,76.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF04,CL_UNIT_MEASURE.PT,58.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,96.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,97.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,97.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,98.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,94.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,95.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,3.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,2.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,2.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,1.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,5.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF07,CL_UNIT_MEASURE.PT,4.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,92.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,89.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,90.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,84.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,90.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,91.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,7.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,10.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,9.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,15.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,9.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF09,CL_UNIT_MEASURE.PT,8.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,94.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,89.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,91.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,99.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,90.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_11,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,95.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,5.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,10.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,8.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,0.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,9.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_010B01_12,CL_AREA.KG,CL_COMP_BREAKDOWN._L_COFOG_GF06,CL_UNIT_MEASURE.PT,4.9
