Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.COMPOSITE_BREAKDOWN,Units,Value
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1469
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1464
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,,CL_UNIT_MEASURE.NUMBER,1622
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,295
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,151
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,154
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,168
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,94
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,85
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,226
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,157
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,55
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,80
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,80
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,84
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,99
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MATDIFF,CL_UNIT_MEASURE.NUMBER,104
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,86
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,128
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,116
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,74
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,55
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,151
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,72
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,27
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,32
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,16
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,17
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,24
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_PARENTS,CL_UNIT_MEASURE.NUMBER,39
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NODOC,CL_UNIT_MEASURE.NUMBER,4
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,208
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,140
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,175
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,540
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,321
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,287
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,466
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,414
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,147
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,359
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,175
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,287
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,320
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_DOM,CL_UNIT_MEASURE.NUMBER,400
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,222
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,142
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,127
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,123
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,124
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,203
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,131
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,115
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,69
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,61
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,38
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,26
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,29
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_UNWILL,CL_UNIT_MEASURE.NUMBER,66
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,87
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,65
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,72
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,64
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,15
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,27
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,40
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,23
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,14
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_FAMILY,CL_UNIT_MEASURE.NUMBER,12
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,11
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,9
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,16
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_NOLANG,CL_UNIT_MEASURE.NUMBER,0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_MARR,CL_UNIT_MEASURE.NUMBER,3
2005,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,102
2006,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,218
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,204
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,79
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,185
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,183
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,211
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,136
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040101_1A,CL_AREA.KG,CL_SEX.M,CL_AGE.Y7T17,CL_COMP_BREAKDOWN._L_CSE_WORK,CL_UNIT_MEASURE.NUMBER,641
