Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,3.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,2.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,2.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,4.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG05,,CL_UNIT_MEASURE.PT,6.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,3.1
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,3.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,4.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,5.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,5.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,5.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,5.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,8.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG03,,CL_UNIT_MEASURE.PT,15.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,3.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,3.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,4.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,4.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,4.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,4.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,5.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,6.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG02,,CL_UNIT_MEASURE.PT,8.2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,2.4
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,1.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,1.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,1.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,0.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,1.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,1.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,2.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG04,,CL_UNIT_MEASURE.PT,3.9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,6.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,5.9
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,5.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,2.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,2.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,3.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,3.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,4.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG06,,CL_UNIT_MEASURE.PT,6.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,2.6
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,3.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,3.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,3.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,2.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,1.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,2.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,3.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG07,,CL_UNIT_MEASURE.PT,3.8
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,14.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,14.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,14.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,13.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,13.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,15.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,16.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,21.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG08,,CL_UNIT_MEASURE.PT,21.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,14.5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,13.6
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,12.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,13.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,13.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,14.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,15.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,16.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG11,,CL_UNIT_MEASURE.PT,16.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,7.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,7.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,5.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,5.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,7.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG21,,CL_UNIT_MEASURE.PT,8.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,9.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,8.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,9.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,8.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,8.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,8.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,9.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,11.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.PT,12.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,6.7
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,6.8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,6.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,5.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,5.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,6.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,6.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,9.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SL_TLF_MANF,CL_AREA.KG,CL_SEX.M,CL_UNIT_MEASURE.PT,11.7
