Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG02,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,11.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG04,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,18.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG06,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,18.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG07,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,16.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG08,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,11.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG11,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,5.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG21,CL_SEX.F,CL_AGE.Y20T24,,,,CL_UNIT_MEASURE.PT,13.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,CL_EDUCATION_LEV.ISCED11_2,,CL_UNIT_MEASURE.PT,30.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,CL_EDUCATION_LEV.ISCED11_3,,CL_UNIT_MEASURE.PT,21.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,CL_EDUCATION_LEV.ISCED11_4,,CL_UNIT_MEASURE.PT,6.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,CL_EDUCATION_LEV.ISCED11_5,,CL_UNIT_MEASURE.PT,2.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,,,CL_DISABILITY.PWD,CL_UNIT_MEASURE.PT,12.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,CL_QUANTILE.Q1,,,CL_UNIT_MEASURE.PT,11.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,CL_QUANTILE.Q2,,,CL_UNIT_MEASURE.PT,19.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,CL_QUANTILE.Q3,,,CL_UNIT_MEASURE.PT,14.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,CL_QUANTILE.Q4,,,CL_UNIT_MEASURE.PT,12.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SP_DYN_MRBF18,CL_AREA.KG,CL_SEX.F,CL_AGE.Y20T24,CL_QUANTILE.Q5,,,CL_UNIT_MEASURE.PT,6.4
