Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,concept.AGE,concept.EDUCATION_LEV,Units,Value
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,12.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,12.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,12.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,13.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,14.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,14.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,13.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y15T17,CL_EDUCATION_LEV.AGG_3_4,CL_UNIT_MEASURE.PT,13.7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,13.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,20.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,21.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,21.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,22.0
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,22.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,23.1
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,23.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,16.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,23.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,24.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,24.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,25.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,26.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,26.4
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,26.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,11.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,16.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,18.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,18.0
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,18.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,19.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,19.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T20,CL_EDUCATION_LEV.ISCED11_5,CL_UNIT_MEASURE.PT,19.8
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,24.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,24.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,23.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,22.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,20.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,19.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,19.8
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,22.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,26.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,26.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,26.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,24.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,22.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,20.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,21.3
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.F,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,23.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,22.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,21.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,21.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,20.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,18.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,17.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,18.3
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040301_1,CL_AREA.KG,CL_SEX.M,CL_AGE.Y17T24,CL_EDUCATION_LEV.ISCED11_6_7,CL_UNIT_MEASURE.PT,20.8
