Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.AGE,concept.URBANISATION,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,34.6
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,34.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,10.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,13.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,14.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,16.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,17.9
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,19.3
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,20.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,16.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,19.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,20.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,23.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,25.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,26.3
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,28.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,33.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,33.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,30.5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,32.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,33.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,34.0
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,42.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,10.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,14.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,16.7
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,20.5
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,23.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,23.3
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG05,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,23.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,15.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,15.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,16.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,18.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,20.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,21.8
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,23.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,27.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,28.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,28.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,30.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,32.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,35.0
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,37.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,10.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,11.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,12.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,15.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,16.5
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,18.0
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG03,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,18.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,17.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,18.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,20.9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,24.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,25.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,27.2
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,28.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,34.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,33.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,34.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,38.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,41.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,38.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,39.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,9.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,11.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,12.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,15.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,17.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,18.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG02,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,22.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,19.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,25.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,22.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,26.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,31.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,34.2
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,35.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,32.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,36.8
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,17.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,39.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,44.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,50.9
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,51.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,17.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,23.7
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,9.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,24.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,29.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,31.1
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG04,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,32.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,11.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,13.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,14.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,16.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,17.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,18.2
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,19.7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,15.0
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,16.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,15.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,18.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,17.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,15.6
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,17.0
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,11.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,12.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,14.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,16.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,17.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,18.4
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG06,CL_AGE.Y1T6,CL_URBANISATION.R,CL_UNIT_MEASURE.PT,19.9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,14.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,17.0
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,20.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,20.8
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,22.2
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,24.4
2019,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,,CL_UNIT_MEASURE.PT,26.4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,49.4
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,58.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,66.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES._L_KG_040202_1A,CL_AREA.KG07,CL_AGE.Y1T6,CL_URBANISATION.U,CL_UNIT_MEASURE.PT,65.6
