Year,FREQ,REPORTING_TYPE,Series,REF_AREA,PRODUCT,Units,Value
2015,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,146.579526
2016,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,143.659907
2017,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,129.855851
2018,A,N,_L_KG_020101_1E,,_L_AGG_WHEATS,PT,99.071586
2010,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,16.483516
2011,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,20.879121
2012,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,20.879121
2013,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,20.879121
2014,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,20.879121
2015,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,20.879121
2016,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,9.602909
2017,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,9.89011
2018,A,N,_L_KG_020101_1E,,_L_AGG_FISH,PT,8.791209
