Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.OCCUPATION,Units,Value
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.0
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_221,CL_UNIT_MEASURE.PER_1000_POP,2.0
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2261,CL_UNIT_MEASURE.PER_1000_POP,0.3
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.0
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO08_2262,CL_UNIT_MEASURE.PER_1000_POP,0.1
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.3
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.3
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.4
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.5
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.6
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_MED_DEN,CL_AREA.KG,CL_OCCUPATION.ISCO88_223,CL_UNIT_MEASURE.PER_1000_POP,4.5
