Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,concept.SEX,Units,Value
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,47
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,34
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,33
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,23
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,20
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,10
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,56
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,4
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,8
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,15
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,9
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,,CL_UNIT_MEASURE.NUMBER,9
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,9
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,11
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,7
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,3
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,7
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,4
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG05,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,2
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,5
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,25
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,39
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,32
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,35
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,33
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,31
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,17
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,11
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,13
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,43
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,,CL_UNIT_MEASURE.NUMBER,4
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,5
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,18
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,27
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,21
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,27
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,17
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,22
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,11
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,29
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,7
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,12
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,11
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,8
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,16
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG03,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,14
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,14
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,42
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,11
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,15
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,17
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,21
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,25
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,,CL_UNIT_MEASURE.NUMBER,2
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,10
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,26
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,7
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,10
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,9
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,13
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,16
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,5
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,6
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,16
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,5
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG02,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,1
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,5
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,6
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,9
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,,CL_UNIT_MEASURE.NUMBER,2
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,4
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.M,CL_UNIT_MEASURE.NUMBER,2
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,1
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,3
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG04,CL_SEX.F,CL_UNIT_MEASURE.NUMBER,3
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,6
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,96
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,2
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,19
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,11
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,22
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,10
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,1
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,35
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.VC_DSR_MORT,CL_AREA.KG06,,CL_UNIT_MEASURE.NUMBER,1
