Year,concept.FREQ,concept.REPORTING_TYPE,Series,concept.REF_AREA,Units,Value
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG,CL_UNIT_MEASURE.PER_100000_POP,0.8
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,11.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,11.5
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,8.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,7.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,11.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,5.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,6.7
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,7.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,5.3
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,3.1
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.5
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,4.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,3.5
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,3.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,0.9
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.3
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,0.7
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,3.5
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,3.0
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,1.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,0.9
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,2.9
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,1.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,0.9
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,0.9
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,1.1
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,0.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,0.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG02,CL_UNIT_MEASURE.PER_100000_POP,0.6
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,5.1
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,3.1
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,3.1
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,3.1
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,4.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.6
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.5
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.5
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,2.2
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,0.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG04,CL_UNIT_MEASURE.PER_100000_POP,1.1
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,6.2
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,6.9
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,5.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,3.2
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,3.4
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,5.3
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.6
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,2.2
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG06,CL_UNIT_MEASURE.PER_100000_POP,1.5
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.9
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.7
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.4
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,1.7
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,4.7
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.5
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,0.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,1.2
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,2.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,0.4
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG07,CL_UNIT_MEASURE.PER_100000_POP,0.8
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,2.0
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,1.6
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,1.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,1.0
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,2.0
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,2.2
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,1.2
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,0.6
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,0.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,0.7
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,0.8
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG08,CL_UNIT_MEASURE.PER_100000_POP,0.1
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,1.5
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,1.2
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.8
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,1.3
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.8
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.4
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.8
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.6
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.6
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG11,CL_UNIT_MEASURE.PER_100000_POP,0.4
2007,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.4
2008,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.8
2009,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.5
2010,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.6
2011,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.2
2012,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.8
2013,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.1
2014,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,1.1
2015,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.4
2016,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.4
2017,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.7
2018,CL_FREQ.A,CL_REPORTING_TYPE.N,CL_SERIES.SH_STA_WASH,CL_AREA.KG21,CL_UNIT_MEASURE.PER_100000_POP,0.7
