Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Age,Degree of urbanisation,Units,Value
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,15.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,16.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,18.7
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,20.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,21.8
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,,PT,23.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,27.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,28.5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,28.4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,30.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,32.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,35.0
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Urban,PT,37.8
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,10.3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,11.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,12.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,15.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,16.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,18.0
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Jalal-Abad,1 to 6 years old,Rural,PT,18.9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,17.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,18.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,20.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,24.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,25.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,27.2
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,,PT,28.8
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,34.2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,33.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,34.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,38.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,41.1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,38.9
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Urban,PT,39.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,9.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,11.1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,12.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,15.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,17.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,18.9
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Issyk-Kul,1 to 6 years old,Rural,PT,22.9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,19.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,25.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,22.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,26.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,31.6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,34.2
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,,PT,35.6
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,32.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,36.8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,17.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,39.7
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,44.8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,50.9
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Urban,PT,51.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,17.5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,23.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,9.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,24.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,29.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,31.1
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Naryn,1 to 6 years old,Rural,PT,32.9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,11.6
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,13.1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,14.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,16.3
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,17.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,18.2
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,,PT,19.7
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,15.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,16.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,15.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,18.1
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,17.7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,15.6
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Urban,PT,17.0
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,11.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,12.9
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,14.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,16.2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,17.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,18.4
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh,1 to 6 years old,Rural,PT,19.9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,14.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,17.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,20.6
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,20.8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,22.2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,24.4
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,,PT,26.4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,49.4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,58.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,66.1
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,65.6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,67.1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,65.9
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Urban,PT,65.3
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,10.3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,12.3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,15.8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,16.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,17.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,19.3
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Talas,1 to 6 years old,Rural,PT,21.4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,12.5
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,16.0
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,16.5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,18.5
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,19.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,21.1
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,,PT,21.8
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,24.3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,27.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,26.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,30.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,32.3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,33.5
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Urban,PT,35.2
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,9.3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,12.6
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,13.3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,14.9
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,15.5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,17.7
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Chui,1 to 6 years old,Rural,PT,18.4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,31.0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,29.4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,27.9
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,28.0
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,29.6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,29.5
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Bishkek (city),1 to 6 years old,Urban,PT,28.2
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,41.9
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,49.7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,48.2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,49.4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,47.9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,48.8
2019,Normal value,Units,Country Data,Annual,National,_L_KG_040202_1A,Osh (city),1 to 6 years old,Urban,PT,43.3
