Year,Observation status,Unit multiplier,Nature of data points,Observation-level footnotes,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,Disability status,Units,Value
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,40 to 44 years old,,,,,PT,52.2
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,40 to 44 years old,,,,,PT,68.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,45 to 49 years old,,,,,PT,29.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,45 to 49 years old,,,,,PT,66.0
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,,Primary education,,PT,20.4
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,,Lower secondary education,,PT,36.5
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,Lower secondary education,,PT,67.8
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,,Upper secondary education,,PT,42.1
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,Upper secondary education,,PT,62.9
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,,Post-secondary non-tertiary education,,PT,43.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,Post-secondary non-tertiary education,,PT,66.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,,Short-cycle tertiary education,,PT,43.7
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,Short-cycle tertiary education,,PT,74.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,,Persons with disability,PT,81.6
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,,,Persons without disability,PT,67.1
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 1 (poorest),,,PT,42.5
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 1 (poorest),,,PT,66.5
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 2,,,PT,37.8
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 2,,,PT,60.7
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 3,,,PT,39.1
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 3,,,PT,69.2
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 4,,,PT,45.1
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 4,,,PT,69.3
2014,Normal value,Units,Country Data,"According to Multiple Indicator Cluster Survey, 2014.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 5 (richest),,,PT,45.3
2018,Normal value,Units,Country Data,"According to the cluster survey for many indicators, 2018.",Annual,National,SH_FPL_MTMM,,Female,,,Quintile 5 (richest),,,PT,71.4
