Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,96.4
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,97.2
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,96.6
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,93.7
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,94.0
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,90.5
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,86.5
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Bishkek (city),PT,90.3
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,95.2
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,96.7
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,95.4
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,95.7
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,95.2
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,98.5
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,99.2
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,96.0
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,97.6
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,96.7
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,98.0
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_DTP3,Osh (city),PT,95.2
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,98.8
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,99.1
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,98.9
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,98.3
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,97.2
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,97.7
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,98.666102
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,95.6
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,99.1
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,97.0
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,94.7
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,,PT,96.244215
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,99.2
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,99.0
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,99.9
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,97.2
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,95.7
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,100.0
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,99.9
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,98.9
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,97.6
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,99.9
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,98.7
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Batken,PT,92.454654
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,97.8
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,99.2
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,98.3
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,98.3
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,100.0
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,99.0
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,99.6
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,91.7
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,100.0
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,95.7
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,88.8
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Jalal-Abad,PT,93.49863
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,99.0
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,99.7
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,99.7
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,99.2
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,96.9
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,95.7
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,97.4
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,95.6
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,98.9
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,97.7
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,95.1
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Issyk-Kul,PT,96.51199
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,99.4
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,99.1
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,98.9
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,99.5
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,96.7
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,97.6
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,97.3
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,97.7
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,98.1
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,98.1
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,97.0
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Naryn,PT,97.646444
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,98.9
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,99.5
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,99.8
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,99.7
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,94.7
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,96.6
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,97.9
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,96.1
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,99.0
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,99.2
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,96.8
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh,PT,98.10916
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,98.6
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,99.2
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,97.6
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,97.1
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,97.7
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,98.8
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,97.7
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,94.3
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,97.1
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,97.0
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,95.6
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Talas,PT,98.413291
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,99.1
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,97.4
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,98.7
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,96.4
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,97.1
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,96.4
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,99.3
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,96.5
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,98.6
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,95.0
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,96.3
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Chui,PT,97.43813
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,99.8
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,99.9
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,98.6
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,99.0
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,97.4
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,97.7
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,98.4
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,95.6
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,99.8
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,95.1
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,91.7
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Bishkek (city),PT,96.281062
2007,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,98.8
2008,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,98.9
2009,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,98.2
2010,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,97.4
2011,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,99.7
2012,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,98.1
2013,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,98.7
2014,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,99.9
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,99.7
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,96.8
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,97.7
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_MCV2,Osh (city),PT,99.425085
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,,PT,96.8
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,,PT,97.2
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,,PT,94.2
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,,PT,92.0
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Batken,PT,97.3
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Batken,PT,99.3
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Batken,PT,96.3
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Batken,PT,94.6
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Jalal-Abad,PT,97.3
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Jalal-Abad,PT,95.9
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Jalal-Abad,PT,94.5
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Jalal-Abad,PT,93.8
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Issyk-Kul,PT,98.2
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Issyk-Kul,PT,96.4
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Issyk-Kul,PT,96.3
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Issyk-Kul,PT,95.0
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Naryn,PT,96.8
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Naryn,PT,96.7
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Naryn,PT,97.0
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Naryn,PT,95.1
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh,PT,96.3
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh,PT,98.8
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh,PT,97.2
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh,PT,92.1
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Talas,PT,97.2
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Talas,PT,96.1
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Talas,PT,94.0
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Talas,PT,96.0
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Chui,PT,97.6
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Chui,PT,98.7
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Chui,PT,92.6
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Chui,PT,92.1
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Bishkek (city),PT,95.0
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Bishkek (city),PT,94.8
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Bishkek (city),PT,90.4
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Bishkek (city),PT,83.4
2015,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh (city),PT,97.9
2016,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh (city),PT,96.8
2017,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh (city),PT,90.0
2018,Normal value,Units,Country Data,Annual,National,SH_ACS_PCV3,Osh (city),PT,93.9
