Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Composite breakdown,Units,Value
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,55
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,151
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,72
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,27
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,32
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,16
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,17
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,24
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: unwillingness of parents,NUMBER,39
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,3
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,1
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,3
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,4
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,208
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,140
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,175
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,540
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,321
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,287
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,466
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,414
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,147
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,359
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,175
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,287
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,320
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: for domestic reasons,NUMBER,400
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,222
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,142
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,127
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,123
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,124
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,203
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,131
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,115
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,69
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,61
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,38
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,26
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,29
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: no wishes to learn,NUMBER,66
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,87
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,65
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,72
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,64
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,15
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,27
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,40
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,23
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,14
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,8
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: troubled families,NUMBER,12
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,11
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,9
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,1
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,3
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,16
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,9
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,4
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,6
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: lack knowledge of language,NUMBER,0
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: married, pregnant, they became parents ( mother, father )",NUMBER,3
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,102
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,218
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,204
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,79
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,185
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,183
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,211
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,136
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,641
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,114
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,89
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,241
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,218
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: working,NUMBER,108
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:  lack of transportation (school too far from home),NUMBER,2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:  lack of transportation (school too far from home),NUMBER,3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:  lack of transportation (school too far from home),NUMBER,2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:  lack of transportation (school too far from home),NUMBER,3
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,19
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,26
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,98
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,6
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,"Cause: Temporary seasonal work ( with / x work , grazing in the pasture )",NUMBER,11
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,2
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,0
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,1
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause:   does not match the age of the given class,NUMBER,20
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,310
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,271
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,301
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,153
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,230
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,381
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,297
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,271
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,44
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,55
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,24
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,39
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,27
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: because of sickness ,NUMBER,44
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,908
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,812
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,756
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,541
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,644
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,611
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,759
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,599
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,674
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,736
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,716
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,755
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,736
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: Children with disabilities,NUMBER,811
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,102
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,147
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,144
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,88
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,129
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,241
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,200
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Male,7 to 17 years old,Cause: other reasons,NUMBER,174
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1360
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1448
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1303
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1122
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1207
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1454
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1575
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1265
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1193
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1170
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,972
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1107
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1149
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,,NUMBER,1204
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,137
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,120
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,101
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,91
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,78
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,61
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,133
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,97
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,44
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,106
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,49
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,90
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,147
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: material difficulty,NUMBER,118
2005,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,41
2006,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,86
2007,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,64
2008,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,65
2009,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,46
2010,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,114
2011,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,77
2012,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,24
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,32
2014,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,19
2016,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,18
2017,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,22
2018,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,Cause: unwillingness of parents,NUMBER,30
2013,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,5
2015,Normal value,Units,Country Data,Annual,National,_L_KG_040101_1A,,Female,7 to 17 years old,"Cause: lack of the necessary documents ( birth certificates, registration)",NUMBER,3
