Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Education level,Units,Value
2010,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,13.6
2013,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,20.3
2014,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,21.8
2015,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,21.1
2016,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,22.0
2017,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,22.8
2018,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,23.1
2019,Annual,National,_L_KG_040301_1,,,17 to 20 years old,Short-cycle tertiary education,PT,23.1
2010,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,16.0
2013,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,23.8
2014,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,24.3
2015,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,24.2
2016,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,25.2
2017,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,26.4
2018,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,26.4
2019,Annual,National,_L_KG_040301_1,,Female,17 to 20 years old,Short-cycle tertiary education,PT,26.5
2010,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,11.2
2013,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,16.8
2014,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,18.0
2015,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,18.0
2016,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,18.8
2017,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,19.3
2018,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,19.9
2019,Annual,National,_L_KG_040301_1,,Male,17 to 20 years old,Short-cycle tertiary education,PT,19.8
2010,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,24.3
2013,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,24.3
2014,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,23.8
2015,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,22.6
2016,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,20.2
2017,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,19.1
2018,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,19.8
2019,Annual,National,_L_KG_040301_1,,,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,22.1
2010,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,26.3
2013,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,26.7
2014,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,26.5
2015,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,24.6
2016,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,22.2
2017,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,20.6
2018,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,21.3
2019,Annual,National,_L_KG_040301_1,,Female,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,23.5
2010,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,22.4
2013,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,21.8
2014,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,21.2
2015,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,20.6
2016,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,18.3
2017,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,17.4
2018,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,18.3
2019,Annual,National,_L_KG_040301_1,,Male,17 to 24 years old,Tertiary education (Bachelor’s and Master's or equivalent),PT,20.8
