Year,Frequency of observation,Reporting type,SDG Series,Reference area,Composite breakdown,Unit of measure,Time series-level footnotes,Value
2012,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Water,Metric Tons,At the time of departure of cargo.,11.6
2013,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Water,Metric Tons,At the time of departure of cargo.,10.8
2014,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Water,Metric Tons,At the time of departure of cargo.,15.0
2015,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Water,Metric Tons,At the time of departure of cargo.,12.2
2016,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Water,Metric Tons,At the time of departure of cargo.,2.6
2007,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.6
2008,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.9
2009,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.9
2010,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,1.0
2011,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,1.3
2012,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.7
2013,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.5
2014,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.2
2015,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.2
2016,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.1
2017,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,0.3
2018,Annual,National,Freight volume (tonne kilometres),Kyrgyzstan,Mode of Transport: Air,Metric Tons,,1.0
