Year,Frequency of observation,Reporting type,Series,Reference area,Economic activity,Units,Value
2008,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,2449.8
2009,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,13580.1
2010,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,922.5
2011,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,3243.4
2012,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,2642.0
2013,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,3235.3
2014,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,13168.7
2015,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,5699.3
2016,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,1251.0
2017,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,14422.4
2018,Annual,National,_L_KG_170301_1A,,Information and communication,PER_1000_USD,52603.8
2008,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,347140.38899999997
2009,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,250155.9
2010,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,34882.2
2011,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,48145.0
2012,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,42233.9
2013,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,99847.3
2014,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,28495.0
2015,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,411883.8
2016,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,178724.5
2017,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,81475.8
2018,Annual,National,_L_KG_170301_1A,,Financial and insurance activities,PER_1000_USD,53939.5
2010,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,314.1
2011,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,241.2
2012,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,3961.3
2013,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,2567.9
2014,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,3071.3
2015,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,2845.7
2016,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,216.8
2017,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,1.1
2018,Annual,National,_L_KG_170301_1A,,Real estate activities,PER_1000_USD,729.6
2008,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,146708.1692
2009,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,148003.4
2010,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,210779.0
2011,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,169475.1
2012,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,186849.8
2013,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,403375.4
2014,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,228570.3
2015,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,261903.2
2016,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,164965.9
2017,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,132449.4
2018,Annual,National,_L_KG_170301_1A,,"Professional, scientific and technical activities",PER_1000_USD,142129.0
2008,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,0.2841
2009,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,9.3
2010,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,2.4
2011,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,1.7
2012,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,1083.0
2013,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,17.1
2014,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,11.1
2015,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,0.8
2016,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,65.4
2017,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,123.3
2018,Annual,National,_L_KG_170301_1A,,Administrative and support service activities,PER_1000_USD,76.1
2008,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,0.3
2009,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,139.3
2010,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,12.9
2013,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,5009.5
2014,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,11.7
2015,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,17.3
2016,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,5.2
2017,Annual,National,_L_KG_170301_1A,,Education,PER_1000_USD,6.1
2008,Annual,National,_L_KG_170301_1A,,Human health and social work activities,PER_1000_USD,397.7
2009,Annual,National,_L_KG_170301_1A,,Human health and social work activities,PER_1000_USD,395.3
2012,Annual,National,_L_KG_170301_1A,,Human health and social work activities,PER_1000_USD,127.2
2017,Annual,National,_L_KG_170301_1A,,Human health and social work activities,PER_1000_USD,73.0
2018,Annual,National,_L_KG_170301_1A,,Human health and social work activities,PER_1000_USD,8.1
2008,Annual,National,_L_KG_170301_1A,,"Arts, entertainment and recreation",PER_1000_USD,37.0393
2009,Annual,National,_L_KG_170301_1A,,"Arts, entertainment and recreation",PER_1000_USD,476.6
2011,Annual,National,_L_KG_170301_1A,,"Arts, entertainment and recreation",PER_1000_USD,33.1
2012,Annual,National,_L_KG_170301_1A,,"Arts, entertainment and recreation",PER_1000_USD,141.5
2013,Annual,National,_L_KG_170301_1A,,"Arts, entertainment and recreation",PER_1000_USD,240.4
2017,Annual,National,_L_KG_170301_1A,,"Arts, entertainment and recreation",PER_1000_USD,4712.0
2013,Annual,National,_L_KG_170301_1A,,Other service activities,PER_1000_USD,0.1
2018,Annual,National,_L_KG_170301_1A,,Other service activities,PER_1000_USD,50.4
