Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Age,Units,Value
2016,Annual,National,SL_TLF_UEM,Batken,Male,,PT,15.3
2017,Annual,National,SL_TLF_UEM,Batken,Male,,PT,16.0
2018,Annual,National,SL_TLF_UEM,Batken,Male,,PT,12.2
2010,Annual,National,SL_TLF_UEM,Batken,Female,,PT,7.2
2013,Annual,National,SL_TLF_UEM,Batken,Female,,PT,9.8
2014,Annual,National,SL_TLF_UEM,Batken,Female,,PT,9.6
2015,Annual,National,SL_TLF_UEM,Batken,Female,,PT,7.6
2016,Annual,National,SL_TLF_UEM,Batken,Female,,PT,7.1
2017,Annual,National,SL_TLF_UEM,Batken,Female,,PT,6.3
2018,Annual,National,SL_TLF_UEM,Batken,Female,,PT,7.3
2010,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,7.8
2013,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,8.2
2014,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,7.6
2015,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,7.7
2016,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,7.5
2017,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,7.2
2018,Annual,National,SL_TLF_UEM,Jalal-Abad,,,PT,6.2
2010,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,8.9
2013,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,10.3
2014,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,10.0
2015,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,9.9
2016,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,10.3
2017,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,10.5
2018,Annual,National,SL_TLF_UEM,Jalal-Abad,Male,,PT,9.1
2010,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,7.1
2013,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,6.7
2014,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,6.0
2015,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,6.1
2016,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,5.8
2017,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,5.3
2018,Annual,National,SL_TLF_UEM,Jalal-Abad,Female,,PT,4.7
2010,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,10.2
2013,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,9.5
2014,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,9.3
2015,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,9.1
2016,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,8.9
2017,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,8.7
2018,Annual,National,SL_TLF_UEM,Issyk-Kul,,,PT,8.4
2010,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,10.1
2013,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,9.4
2014,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,10.1
2015,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,9.6
2016,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,8.5
2017,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,8.0
2018,Annual,National,SL_TLF_UEM,Issyk-Kul,Male,,PT,4.9
2010,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,10.3
2013,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,9.5
2014,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,8.7
2015,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,8.7
2016,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,9.1
2017,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,9.0
2018,Annual,National,SL_TLF_UEM,Issyk-Kul,Female,,PT,10.2
2010,Annual,National,SL_TLF_UEM,Naryn,,,PT,10.3
2013,Annual,National,SL_TLF_UEM,Naryn,,,PT,9.1
2014,Annual,National,SL_TLF_UEM,Naryn,,,PT,9.7
2015,Annual,National,SL_TLF_UEM,Naryn,,,PT,9.3
2016,Annual,National,SL_TLF_UEM,Naryn,,,PT,9.0
2017,Annual,National,SL_TLF_UEM,Naryn,,,PT,8.8
2018,Annual,National,SL_TLF_UEM,Naryn,,,PT,8.8
2010,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,14.7
2013,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,14.2
2014,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,15.4
2015,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,13.7
2016,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,14.6
2017,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,12.3
2018,Annual,National,SL_TLF_UEM,Naryn,Male,,PT,15.0
2010,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,8.2
2013,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,6.8
2014,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,7.4
2015,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,7.6
2016,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,6.6
2017,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,7.1
2018,Annual,National,SL_TLF_UEM,Naryn,Female,,PT,6.2
2010,Annual,National,SL_TLF_UEM,Osh,,,PT,6.61
2013,Annual,National,SL_TLF_UEM,Osh,,,PT,6.3
2014,Annual,National,SL_TLF_UEM,Osh,,,PT,6.6
2015,Annual,National,SL_TLF_UEM,Osh,,,PT,6.0
2016,Annual,National,SL_TLF_UEM,Osh,,,PT,5.5
2017,Annual,National,SL_TLF_UEM,Osh,,,PT,5.1
2018,Annual,National,SL_TLF_UEM,Osh,,,PT,4.2
2010,Annual,National,SL_TLF_UEM,Osh,Male,,PT,7.8
2013,Annual,National,SL_TLF_UEM,Osh,Male,,PT,7.4
2014,Annual,National,SL_TLF_UEM,Osh,Male,,PT,7.3
2015,Annual,National,SL_TLF_UEM,Osh,Male,,PT,7.7
2016,Annual,National,SL_TLF_UEM,Osh,Male,,PT,7.1
2017,Annual,National,SL_TLF_UEM,Osh,Male,,PT,7.7
2018,Annual,National,SL_TLF_UEM,Osh,Male,,PT,6.6
2010,Annual,National,SL_TLF_UEM,Osh,Female,,PT,5.9
2013,Annual,National,SL_TLF_UEM,Osh,Female,,PT,5.6
2014,Annual,National,SL_TLF_UEM,Osh,Female,,PT,6.0
2015,Annual,National,SL_TLF_UEM,Osh,Female,,PT,4.8
2016,Annual,National,SL_TLF_UEM,Osh,Female,,PT,4.4
2017,Annual,National,SL_TLF_UEM,Osh,Female,,PT,3.5
2018,Annual,National,SL_TLF_UEM,Osh,Female,,PT,2.7
2010,Annual,National,SL_TLF_UEM,Talas,,,PT,5.1
2013,Annual,National,SL_TLF_UEM,Talas,,,PT,3.7
2014,Annual,National,SL_TLF_UEM,Talas,,,PT,3.9
2015,Annual,National,SL_TLF_UEM,Talas,,,PT,3.3
2016,Annual,National,SL_TLF_UEM,Talas,,,PT,2.8
2017,Annual,National,SL_TLF_UEM,Talas,,,PT,2.5
2018,Annual,National,SL_TLF_UEM,Talas,,,PT,2.5
2010,Annual,National,SL_TLF_UEM,Talas,Male,,PT,5.2
2013,Annual,National,SL_TLF_UEM,Talas,Male,,PT,4.8
2014,Annual,National,SL_TLF_UEM,Talas,Male,,PT,6.5
2015,Annual,National,SL_TLF_UEM,Talas,Male,,PT,5.6
2016,Annual,National,SL_TLF_UEM,Talas,Male,,PT,5.0
2017,Annual,National,SL_TLF_UEM,Talas,Male,,PT,4.6
2018,Annual,National,SL_TLF_UEM,Talas,Male,,PT,3.6
2010,Annual,National,SL_TLF_UEM,Talas,Female,,PT,4.9
2013,Annual,National,SL_TLF_UEM,Talas,Female,,PT,2.8
2014,Annual,National,SL_TLF_UEM,Talas,Female,,PT,1.7
2015,Annual,National,SL_TLF_UEM,Talas,Female,,PT,1.3
2016,Annual,National,SL_TLF_UEM,Talas,Female,,PT,1.2
2017,Annual,National,SL_TLF_UEM,Talas,Female,,PT,0.9
2018,Annual,National,SL_TLF_UEM,Talas,Female,,PT,1.7
2010,Annual,National,SL_TLF_UEM,Chui,,,PT,10.2
2013,Annual,National,SL_TLF_UEM,Chui,,,PT,9.8
2014,Annual,National,SL_TLF_UEM,Chui,,,PT,8.9
2015,Annual,National,SL_TLF_UEM,Chui,,,PT,8.6
2016,Annual,National,SL_TLF_UEM,Chui,,,PT,8.4
2017,Annual,National,SL_TLF_UEM,Chui,,,PT,8.1
2018,Annual,National,SL_TLF_UEM,Chui,,,PT,7.3
2010,Annual,National,SL_TLF_UEM,Chui,Male,,PT,11.4
2013,Annual,National,SL_TLF_UEM,Chui,Male,,PT,10.8
2014,Annual,National,SL_TLF_UEM,Chui,Male,,PT,9.6
2015,Annual,National,SL_TLF_UEM,Chui,Male,,PT,8.2
2016,Annual,National,SL_TLF_UEM,Chui,Male,,PT,8.9
2017,Annual,National,SL_TLF_UEM,Chui,Male,,PT,9.1
2018,Annual,National,SL_TLF_UEM,Chui,Male,,PT,7.4
2010,Annual,National,SL_TLF_UEM,Chui,Female,,PT,9.3
2013,Annual,National,SL_TLF_UEM,Chui,Female,,PT,9.1
2014,Annual,National,SL_TLF_UEM,Chui,Female,,PT,8.4
2015,Annual,National,SL_TLF_UEM,Chui,Female,,PT,8.9
2016,Annual,National,SL_TLF_UEM,Chui,Female,,PT,8.0
2017,Annual,National,SL_TLF_UEM,Chui,Female,,PT,7.4
2018,Annual,National,SL_TLF_UEM,Chui,Female,,PT,7.3
2010,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,10.0
2013,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,9.4
2014,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,8.9
2015,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,8.1
2016,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,7.7
2017,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,7.3
2018,Annual,National,SL_TLF_UEM,Bishkek (city),,,PT,6.7
2010,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,10.6
2013,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,9.7
2014,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,9.5
2015,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,8.4
2016,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,7.6
2017,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,7.9
2018,Annual,National,SL_TLF_UEM,Bishkek (city),Male,,PT,5.0
2010,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,9.5
2013,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,9.3
2014,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,8.4
2015,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,7.7
2016,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,7.8
2017,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,6.7
2018,Annual,National,SL_TLF_UEM,Bishkek (city),Female,,PT,8.2
2013,Annual,National,SL_TLF_UEM,Osh (city),,,PT,4.6
2014,Annual,National,SL_TLF_UEM,Osh (city),,,PT,4.2
2015,Annual,National,SL_TLF_UEM,Osh (city),,,PT,3.9
2016,Annual,National,SL_TLF_UEM,Osh (city),,,PT,3.6
2017,Annual,National,SL_TLF_UEM,Osh (city),,,PT,3.5
2018,Annual,National,SL_TLF_UEM,Osh (city),,,PT,3.0
2013,Annual,National,SL_TLF_UEM,Osh (city),Male,,PT,3.8
2014,Annual,National,SL_TLF_UEM,Osh (city),Male,,PT,5.2
2015,Annual,National,SL_TLF_UEM,Osh (city),Male,,PT,5.6
2016,Annual,National,SL_TLF_UEM,Osh (city),Male,,PT,6.3
2017,Annual,National,SL_TLF_UEM,Osh (city),Male,,PT,4.5
2018,Annual,National,SL_TLF_UEM,Osh (city),Male,,PT,3.5
2013,Annual,National,SL_TLF_UEM,Osh (city),Female,,PT,5.0
2014,Annual,National,SL_TLF_UEM,Osh (city),Female,,PT,3.8
2015,Annual,National,SL_TLF_UEM,Osh (city),Female,,PT,3.1
2016,Annual,National,SL_TLF_UEM,Osh (city),Female,,PT,2.5
2017,Annual,National,SL_TLF_UEM,Osh (city),Female,,PT,3.0
2018,Annual,National,SL_TLF_UEM,Osh (city),Female,,PT,2.7
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,19.1
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,16.2
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,17.7
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,17.3
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,19.9
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,18.3
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,15 to 19 years old,PT,13.9
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,12.4
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,10.4
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,10.2
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,10.5
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,10.4
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,10.2
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,20 to 29 years old,PT,9.5
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,6.2
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,7.2
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,6.7
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,6.2
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,5.9
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,5.4
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,30 to 39 years old,PT,4.6
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,5.9
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,6.4
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,6.7
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,5.8
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,5.3
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,5.3
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,40 to 49 years old,PT,4.3
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,4.8
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,6.1
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,5.1
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,4.2
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,3.5
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,3.8
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,50 to 59 years old,PT,4.2
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,2.3
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,3.2
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,2.6
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,2.8
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,1.3
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,1.6
2018,Annual,National,SL_TLF_UEM,Kyrgyzstan,,60 to 69 years old,PT,2.7
2010,Annual,National,SL_TLF_UEM,Kyrgyzstan,,70 years old and over,PT,0.6
2013,Annual,National,SL_TLF_UEM,Kyrgyzstan,,70 years old and over,PT,1.6
2014,Annual,National,SL_TLF_UEM,Kyrgyzstan,,70 years old and over,PT,2.8
2015,Annual,National,SL_TLF_UEM,Kyrgyzstan,,70 years old and over,PT,1.4
2016,Annual,National,SL_TLF_UEM,Kyrgyzstan,,70 years old and over,PT,0.9
2017,Annual,National,SL_TLF_UEM,Kyrgyzstan,,70 years old and over,PT,0.3
