Year,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2012,Annual,National,SL_TLF_MANF,Naryn,,PT,1.6
2013,Annual,National,SL_TLF_MANF,Naryn,,PT,1.4
2014,Annual,National,SL_TLF_MANF,Naryn,,PT,0.9
2015,Annual,National,SL_TLF_MANF,Naryn,,PT,1.1
2016,Annual,National,SL_TLF_MANF,Naryn,,PT,1.4
2017,Annual,National,SL_TLF_MANF,Naryn,,PT,2.3
2018,Annual,National,SL_TLF_MANF,Naryn,,PT,3.9
2010,Annual,National,SL_TLF_MANF,Osh,,PT,6.3
2011,Annual,National,SL_TLF_MANF,Osh,,PT,5.9
2012,Annual,National,SL_TLF_MANF,Osh,,PT,5.4
2013,Annual,National,SL_TLF_MANF,Osh,,PT,2.7
2014,Annual,National,SL_TLF_MANF,Osh,,PT,2.8
2015,Annual,National,SL_TLF_MANF,Osh,,PT,3.4
2016,Annual,National,SL_TLF_MANF,Osh,,PT,3.3
2017,Annual,National,SL_TLF_MANF,Osh,,PT,4.7
2018,Annual,National,SL_TLF_MANF,Osh,,PT,6.7
2010,Annual,National,SL_TLF_MANF,Talas,,PT,2.6
2011,Annual,National,SL_TLF_MANF,Talas,,PT,3.0
2012,Annual,National,SL_TLF_MANF,Talas,,PT,3.1
2013,Annual,National,SL_TLF_MANF,Talas,,PT,3.0
2014,Annual,National,SL_TLF_MANF,Talas,,PT,2.2
2015,Annual,National,SL_TLF_MANF,Talas,,PT,1.9
2016,Annual,National,SL_TLF_MANF,Talas,,PT,2.1
2017,Annual,National,SL_TLF_MANF,Talas,,PT,3.6
2018,Annual,National,SL_TLF_MANF,Talas,,PT,3.8
2010,Annual,National,SL_TLF_MANF,Chui,,PT,14.3
2011,Annual,National,SL_TLF_MANF,Chui,,PT,14.3
2012,Annual,National,SL_TLF_MANF,Chui,,PT,14.8
2013,Annual,National,SL_TLF_MANF,Chui,,PT,13.7
2014,Annual,National,SL_TLF_MANF,Chui,,PT,13.7
2015,Annual,National,SL_TLF_MANF,Chui,,PT,15.1
2016,Annual,National,SL_TLF_MANF,Chui,,PT,16.0
2017,Annual,National,SL_TLF_MANF,Chui,,PT,21.6
2018,Annual,National,SL_TLF_MANF,Chui,,PT,21.4
2010,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,14.5
2011,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,13.6
2012,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,12.8
2013,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,13.5
2014,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,13.5
2015,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,14.8
2016,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,15.4
2017,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,16.1
2018,Annual,National,SL_TLF_MANF,Bishkek (city),,PT,16.4
2013,Annual,National,SL_TLF_MANF,Osh (city),,PT,7.5
2014,Annual,National,SL_TLF_MANF,Osh (city),,PT,7.8
2015,Annual,National,SL_TLF_MANF,Osh (city),,PT,5.1
2016,Annual,National,SL_TLF_MANF,Osh (city),,PT,5.1
2017,Annual,National,SL_TLF_MANF,Osh (city),,PT,7.6
2018,Annual,National,SL_TLF_MANF,Osh (city),,PT,8.5
2010,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,9.3
2011,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,8.8
2012,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,9.0
2013,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,8.8
2014,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,8.9
2015,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,8.4
2016,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,9.1
2017,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,11.3
2018,Annual,National,SL_TLF_MANF,Kyrgyzstan,Female,PT,12.5
2010,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,6.7
2011,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,6.8
2012,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,6.6
2013,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,5.7
2014,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,5.6
2015,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,6.7
2016,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,6.7
2017,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,9.3
2018,Annual,National,SL_TLF_MANF,Kyrgyzstan,Male,PT,11.7
