Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Sex,Units,Value
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Female,PER_100000_POP,8
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Female,PER_100000_POP,6
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Female,PER_100000_POP,2
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,4
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,4
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,10
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,6
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,6
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Jalal-Abad,Male,PER_100000_POP,10
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,28
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,37
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,25
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,14
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,18
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,7
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,15
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,24
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,2
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,13
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,10
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,,PER_100000_POP,8
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,14
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,32
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,9
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,9
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,13
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,9
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,13
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Female,PER_100000_POP,4
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,42
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,42
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,41
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,18
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,23
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,22
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,44
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,13
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,17
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Issyk-Kul,Male,PER_100000_POP,17
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,,PER_100000_POP,12
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,,PER_100000_POP,4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,,PER_100000_POP,4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,,PER_100000_POP,11
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,Female,PER_100000_POP,8
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,Female,PER_100000_POP,7
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,Male,PER_100000_POP,15
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,Male,PER_100000_POP,8
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,Male,PER_100000_POP,7
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Naryn,Male,PER_100000_POP,14
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,2
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,3
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,1
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,3
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,2
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,,PER_100000_POP,2
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Female,PER_100000_POP,2
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Female,PER_100000_POP,3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Female,PER_100000_POP,2
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Female,PER_100000_POP,3
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,2
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,5
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,2
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,3
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,5
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,5
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh,Male,PER_100000_POP,3
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,,PER_100000_POP,9
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,,PER_100000_POP,4
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,,PER_100000_POP,4
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,,PER_100000_POP,4
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,,PER_100000_POP,4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,,PER_100000_POP,4
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,Male,PER_100000_POP,18
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,Male,PER_100000_POP,9
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,Male,PER_100000_POP,8
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,Male,PER_100000_POP,8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,Male,PER_100000_POP,8
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Talas,Male,PER_100000_POP,8
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,42
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,61
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,30
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,32
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,23
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,31
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,22
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,19
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,20
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,22
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,22
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,,PER_100000_POP,26
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,25
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,44
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,24
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,22
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,5
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,17
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,7
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,7
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,16
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,4
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,13
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Female,PER_100000_POP,17
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,59
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,79
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,35
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,43
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,42
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,46
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,38
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,31
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,25
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,41
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,31
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Chui,Male,PER_100000_POP,35
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,32
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,34
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,18
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,9
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,23
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,26
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,19
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,19
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,11
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,15
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,9
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),,PER_100000_POP,13
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,23
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,27
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,11
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,4
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,11
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,15
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,14
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,12
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,4
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,15
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,4
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Female,PER_100000_POP,7
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,42
2008,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,42
2009,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,26
2010,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,15
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,37
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,39
2013,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,24
2014,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,28
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,18
2016,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,15
2017,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,15
2018,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Bishkek (city),Male,PER_100000_POP,19
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),,PER_100000_POP,4
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),,PER_100000_POP,4
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),,PER_100000_POP,12
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),,PER_100000_POP,4
2007,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),Female,PER_100000_POP,7
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),Female,PER_100000_POP,15
2011,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),Male,PER_100000_POP,8
2012,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),Male,PER_100000_POP,8
2015,Normal value,Units,Country Data,Annual,National,_L_KG_030901_1,Osh (city),Male,PER_100000_POP,8
