Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Composite breakdown,Units,Value
2010,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,170
2011,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,484
2012,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,498
2013,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,523
2014,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,615
2015,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,499
2016,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,471
2017,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,471
2018,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Carbon monoxide,KG,607
2010,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,125
2011,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,154
2012,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,176
2013,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,173
2014,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,212
2015,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,200
2016,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,218
2017,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,195
2018,Normal value,Units,Country Data,Annual,National,_L_KG_090401_1,,Pollutants: Nitrogen oxide ,KG,228
