Year,Frequency of observation,Reporting type,SDG Series,Reference area,Degree of urbanisation,Unit of measure,Value
2012,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,56.178596999999996
2013,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,55.445404
2014,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,54.779706999999995
2015,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,55.904828
2016,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,48.1947
2017,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,41.1944
2018,Annual,National,Prevalence of undernourishment,Jalal-Abad,,Percent,44.0
2000,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,65.030908
2001,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,78.831057
2002,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,60.063825
2003,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,52.018784000000004
2004,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,40.999171000000004
2005,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,46.03717
2006,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,49.877805
2007,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,50.802119
2008,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,54.86160600000001
2009,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,44.383158
2010,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,43.452039
2011,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,41.044025
2012,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,36.987697
2013,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,39.824088
2014,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,42.638658
2015,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,46.284209000000004
2016,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,45.0267
2017,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,51.7617
2018,Annual,National,Prevalence of undernourishment,Issyk-Kul,,Percent,49.4
2000,Annual,National,Prevalence of undernourishment,Naryn,,Percent,69.421773
2001,Annual,National,Prevalence of undernourishment,Naryn,,Percent,83.85490899999999
2002,Annual,National,Prevalence of undernourishment,Naryn,,Percent,61.635086
2003,Annual,National,Prevalence of undernourishment,Naryn,,Percent,56.394478
2004,Annual,National,Prevalence of undernourishment,Naryn,,Percent,64.60790899999999
2005,Annual,National,Prevalence of undernourishment,Naryn,,Percent,41.085248
2006,Annual,National,Prevalence of undernourishment,Naryn,,Percent,44.647005
2007,Annual,National,Prevalence of undernourishment,Naryn,,Percent,54.99528299999999
2008,Annual,National,Prevalence of undernourishment,Naryn,,Percent,46.270674
2009,Annual,National,Prevalence of undernourishment,Naryn,,Percent,45.332789
2010,Annual,National,Prevalence of undernourishment,Naryn,,Percent,53.95726
2011,Annual,National,Prevalence of undernourishment,Naryn,,Percent,55.074815
2012,Annual,National,Prevalence of undernourishment,Naryn,,Percent,50.991559
2013,Annual,National,Prevalence of undernourishment,Naryn,,Percent,49.875233
2014,Annual,National,Prevalence of undernourishment,Naryn,,Percent,54.149214
2015,Annual,National,Prevalence of undernourishment,Naryn,,Percent,50.007164
2016,Annual,National,Prevalence of undernourishment,Naryn,,Percent,52.6105
2017,Annual,National,Prevalence of undernourishment,Naryn,,Percent,41.3079
2018,Annual,National,Prevalence of undernourishment,Naryn,,Percent,42.5
2000,Annual,National,Prevalence of undernourishment,Osh,,Percent,61.998934999999996
2001,Annual,National,Prevalence of undernourishment,Osh,,Percent,79.954728
2002,Annual,National,Prevalence of undernourishment,Osh,,Percent,54.709140000000005
2003,Annual,National,Prevalence of undernourishment,Osh,,Percent,61.826885
2004,Annual,National,Prevalence of undernourishment,Osh,,Percent,55.635298999999996
2005,Annual,National,Prevalence of undernourishment,Osh,,Percent,53.173235999999996
2006,Annual,National,Prevalence of undernourishment,Osh,,Percent,61.10215600000001
2007,Annual,National,Prevalence of undernourishment,Osh,,Percent,57.709264000000005
2008,Annual,National,Prevalence of undernourishment,Osh,,Percent,50.124177
2009,Annual,National,Prevalence of undernourishment,Osh,,Percent,46.700596000000004
2010,Annual,National,Prevalence of undernourishment,Osh,,Percent,46.190482
2011,Annual,National,Prevalence of undernourishment,Osh,,Percent,47.071675
2012,Annual,National,Prevalence of undernourishment,Osh,,Percent,54.141276
2013,Annual,National,Prevalence of undernourishment,Osh,,Percent,47.140617999999996
2014,Annual,National,Prevalence of undernourishment,Osh,,Percent,33.115
2015,Annual,National,Prevalence of undernourishment,Osh,,Percent,37.884188
2016,Annual,National,Prevalence of undernourishment,Osh,,Percent,39.4276
2017,Annual,National,Prevalence of undernourishment,Osh,,Percent,42.7541
2018,Annual,National,Prevalence of undernourishment,Osh,,Percent,41.5
2000,Annual,National,Prevalence of undernourishment,Talas,,Percent,63.975403
2001,Annual,National,Prevalence of undernourishment,Talas,,Percent,77.544184
2002,Annual,National,Prevalence of undernourishment,Talas,,Percent,49.613657
2003,Annual,National,Prevalence of undernourishment,Talas,,Percent,57.113622
2004,Annual,National,Prevalence of undernourishment,Talas,,Percent,56.048502
2005,Annual,National,Prevalence of undernourishment,Talas,,Percent,42.225864
2006,Annual,National,Prevalence of undernourishment,Talas,,Percent,48.801285
2007,Annual,National,Prevalence of undernourishment,Talas,,Percent,44.743736
2008,Annual,National,Prevalence of undernourishment,Talas,,Percent,46.638489
2009,Annual,National,Prevalence of undernourishment,Talas,,Percent,39.560145
2010,Annual,National,Prevalence of undernourishment,Talas,,Percent,38.135796
2011,Annual,National,Prevalence of undernourishment,Talas,,Percent,41.962558
2012,Annual,National,Prevalence of undernourishment,Talas,,Percent,42.399891
2013,Annual,National,Prevalence of undernourishment,Talas,,Percent,23.469023
2014,Annual,National,Prevalence of undernourishment,Talas,,Percent,27.367497999999998
2015,Annual,National,Prevalence of undernourishment,Talas,,Percent,28.689411
2016,Annual,National,Prevalence of undernourishment,Talas,,Percent,27.3539
2017,Annual,National,Prevalence of undernourishment,Talas,,Percent,34.8662
2018,Annual,National,Prevalence of undernourishment,Talas,,Percent,36.1
2000,Annual,National,Prevalence of undernourishment,Chui,,Percent,46.583904
2001,Annual,National,Prevalence of undernourishment,Chui,,Percent,64.318147
2002,Annual,National,Prevalence of undernourishment,Chui,,Percent,39.251546999999995
2003,Annual,National,Prevalence of undernourishment,Chui,,Percent,39.42033
2004,Annual,National,Prevalence of undernourishment,Chui,,Percent,33.925261
2005,Annual,National,Prevalence of undernourishment,Chui,,Percent,33.550114
2006,Annual,National,Prevalence of undernourishment,Chui,,Percent,27.796784999999996
2007,Annual,National,Prevalence of undernourishment,Chui,,Percent,31.993627000000004
2008,Annual,National,Prevalence of undernourishment,Chui,,Percent,32.482469
2009,Annual,National,Prevalence of undernourishment,Chui,,Percent,35.879613
2010,Annual,National,Prevalence of undernourishment,Chui,,Percent,30.869436
2011,Annual,National,Prevalence of undernourishment,Chui,,Percent,39.349758
2012,Annual,National,Prevalence of undernourishment,Chui,,Percent,35.689813
2013,Annual,National,Prevalence of undernourishment,Chui,,Percent,44.223608
2014,Annual,National,Prevalence of undernourishment,Chui,,Percent,51.04221
2015,Annual,National,Prevalence of undernourishment,Chui,,Percent,52.441412
2016,Annual,National,Prevalence of undernourishment,Chui,,Percent,43.6365
2017,Annual,National,Prevalence of undernourishment,Chui,,Percent,58.4127
2018,Annual,National,Prevalence of undernourishment,Chui,,Percent,41.2
2000,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,68.003731
2001,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,85.640504
2002,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,68.047002
2003,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,65.35321
2004,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,47.933479999999996
2005,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,48.511241
2006,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,37.044933
2007,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,40.680531
2008,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,39.336853000000005
2009,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,35.924393
2010,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,39.823376
2011,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,49.68253
2012,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,63.775511
2013,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,43.930005
2014,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,54.03263199999999
2015,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,65.190118
2016,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,49.217
2017,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,60.2912
2018,Annual,National,Prevalence of undernourishment,Bishkek (city),,Percent,51.8
2013,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,69.262253
2014,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,67.223461
2015,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,67.70075899999999
2016,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,54.4469
2017,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,72.2366
2018,Annual,National,Prevalence of undernourishment,Osh (city),,Percent,70.1
