Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,Series,Reference area,Units,Value
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,99.413814
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,105.487767
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,96.74539
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,119.674506
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,92.938571
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,97.869284
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,103.318964
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Issyk-Kul,PT,97.328443
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,129.698247
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,110.814902
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,92.921575
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,133.150078
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,103.232521
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,107.926877
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,98.290589
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,114.563967
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,98.213637
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,94.459452
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,100.774043
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Naryn,PT,101.660059
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,130.503251
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,132.389129
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,91.207604
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,133.714976
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,103.635522
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,106.985188
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,104.5544
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,118.553298
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,93.999692
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,94.914537
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,109.47206
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh,PT,96.104604
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,131.559431
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,117.520012
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,90.950636
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,123.024848
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,105.793162
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,102.033354
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,100.612627
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,116.089417
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,93.146935
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,92.497165
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,104.166923
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Talas,PT,96.802565
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,130.314372
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,123.411415
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,94.365695
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,128.672851
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,102.493938
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,103.92528
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,102.312574
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,114.643974
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,95.710818
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,95.89276
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,102.559508
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Chui,PT,96.302209
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,131.950406
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,117.83137
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,92.340833
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,123.722482
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,103.406938
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,103.832086
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,101.221964
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,110.997582
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,97.00121
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,94.519576
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,101.578366
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Bishkek (city),PT,97.346546
2007,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,130.503251
2008,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,132.389129
2009,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,91.207604
2010,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,133.714976
2011,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,103.635522
2012,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,106.985188
2013,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,104.5544
2014,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,118.553298
2015,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,93.999692
2016,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,94.914537
2017,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,103.95699
2018,Normal value,Units,Country Data,Annual,National,_L_KG_020C01_1B,Osh (city),PT,98.011361
